company_name,holder_count,is_shared,held_by_bdcs,industry_sector,business_description,total_positions,fair_value_millions,principal_millions,cost_millions,total_fair_value,total_principal,total_cost,has_business_desc,industry_classified
"Consilio Midco Limited, Compusoft US LLC, and Consilio Investment Holdings, L.P.",1,False,Ares Capital Corporation,Software/Technology,Provider of sales software for the interior design industry,11,272.4,126.5,267.2,272400000.0,126500000.0,267200000.0,True,True
"Cardinal Parent, Inc. and Packers Software Intermediate Holdings, Inc.",1,False,Ares Capital Corporation,Software/Technology,Provider of software and technology-enabled content and analytical solutions to insurance brokers,6,267.6,75.3,290.0,267600000.0,75300000.0,290000000.0,True,True
"Echelon Transportation, LLC",1,False,Prospect Capital Corporation,Unknown,,8,265.15,109.48,441.28,265152000.0,109478000.0,441280000.0,False,False
Global Tel*Link Corporation (d/b/a ViaPath Technologies.),1,False,Prospect Capital Corporation,Unknown,,3,264.25,132.17,263.14,264252000.0,132167000.0,263140000.0,False,False
"OMi Topco, LLC",1,False,Main Street Capital Corporation,Other,Manufacturer of Overhead Cranes,6,261.7,21.75,47.62,261700000.0,21750000.0,47624000.0,True,False
General Datatech LP,1,False,FS KKR Capital Corp,Unknown,,2,252.5,256.1,254.6,252500000.0,256100000.0,254600000.0,False,False
Global Tel*Link Corporation (d./b/a ViaPath Technologies),1,False,Prospect Capital Corporation,Unknown,,2,248.35,126.05,243.8,248348000.0,126048000.0,243796000.0,False,False
Education,1,False,New Mountain Finance Corporation,Unknown,,23,248.19,304.42,290.59,248193000.0,304419000.0,290593000.0,False,False
Summit Interconnect Inc,1,False,FS KKR Capital Corp,Unknown,,2,247.7,269.7,268.1,247700000.0,269700000.0,268100000.0,False,False
"Faraday Buyer, LLC",1,False,Prospect Capital Corporation,Unknown,,4,246.72,123.36,246.72,246716000.0,123358000.0,246716000.0,False,False
"ShiftKey, LLC",1,False,Prospect Capital Corporation,Unknown,,4,246.01,126.64,252.16,246014000.0,126644000.0,252164000.0,False,False
"PracticeTek Purchaser, LLC, PracticeTek MidCo, LLC and GSV PracticeTek Holdings, LLC",1,False,Ares Capital Corporation,Software/Technology,Software provider for medical practitioners,5,244.0,83.8,218.4,244000000.0,83800000.0,218400000.0,True,True
"iQor Holdings, Inc.",1,False,Prospect Capital Corporation,Unknown,,6,243.28,95.7,233.21,243284000.0,95704000.0,233208000.0,False,False
BGB Group LLC,1,False,FS KKR Capital Corp,Unknown,,4,242.0,246.2,244.8,242000000.0,246200000.0,244800000.0,False,False
Apex Service Partners LLC,1,False,FS KKR Capital Corp,Unknown,,10,241.3,242.4,240.7,241300000.0,242400000.0,240700000.0,False,False
"Roemanu LLC (FKA Toorak Capital Partners LLC), Private Equity",1,False,FS KKR Capital Corp,Unknown,,1,241.0,220778388.0,236.5,241000000.0,220778388000000.0,236500000.0,False,False
Hibu Inc,1,False,FS KKR Capital Corp,Unknown,,4,229.8,228.3,222.2,229800000.0,228300000.0,222200000.0,False,False
"Atlantis Health Care Group (Puerto Rico), Inc.",1,False,Prospect Capital Corporation,Unknown,,4,229.52,114.76,229.52,229516000.0,114758000.0,229516000.0,False,False
Vytalogy Wellness LLC (fka Jarrow Formulas Inc),1,False,FS KKR Capital Corp,Unknown,,3,228.4,234.1,227.7,228400000.0,234100000.0,227700000.0,False,False
"Japs-Olson Company, LLC",1,False,Prospect Capital Corporation,Unknown,,4,228.14,114.07,228.14,228138000.0,114069000.0,228138000.0,False,False
First Brands Group,1,False,Prospect Capital Corporation,Unknown,,6,227.9,117.97,235.81,227904000.0,117967000.0,235806000.0,False,False
"Wash Encore Holdings, LLC",1,False,Ares Capital Corporation,Healthcare Services,Provider of outsourced healthcare linen management solutions,3,226.2,113.1,225.8,226200000.0,113100000.0,225800000.0,True,True
Gigamon Inc,1,False,FS KKR Capital Corp,Unknown,,4,226.1,229.7,228.4,226100000.0,229700000.0,228400000.0,False,False
"Credit.com Holdings, LLC",1,False,Prospect Capital Corporation,Unknown,,7,225.45,196.53,382.49,225448000.0,196530000.0,382492000.0,False,False
Heniff Transportation Systems LLC,1,False,FS KKR Capital Corp,Unknown,,6,223.2,223.2,214.5,223200000.0,223200000.0,214500000.0,False,False
California Splendor Holdings LLC,1,False,Main Street Capital Corporation,Other,Processor of Frozen Fruits,9,222.09,58.44,202.02,222092000.0,58436000.0,202022000.0,True,False
"Belnick, LLC (d/b/a The Ubique Group)",1,False,Prospect Capital Corporation,Unknown,,4,219.67,84.55,260.76,219666000.0,84552000.0,260756000.0,False,False
"Emerge Intermediate, Inc.",1,False,Prospect Capital Corporation,Unknown,,4,219.2,113.38,226.76,219204000.0,113382000.0,226764000.0,False,False
"Severin Acquisition, LLC",1,False,Ares Capital Corporation,Software/Technology,Provider of student information system software solutions to the K-12 education market in North America,1,218.9,221.2,221.1,218900000.0,221200000.0,221100000.0,True,True
Dental Care Alliance Inc,1,False,FS KKR Capital Corp,Unknown,,3,217.0,110.8,215.9,217000000.0,110800000.0,215900000.0,False,False
Med-Metrix,1,False,FS KKR Capital Corp,Unknown,,5,216.4,214.8,214.2,216400000.0,214800000.0,214200000.0,False,False
"Cody Pools, Inc.",1,False,Main Street Capital Corporation,Real Estate,Designer of Residential and Commercial Pools,4,214.07,39.23,95.02,214074000.0,39227000.0,95024000.0,True,True
Oxford Global Resources LLC,1,False,FS KKR Capital Corp,Unknown,,5,211.5,210.4,209.3,211500000.0,210400000.0,209300000.0,False,False
"SOC Telemed, Inc. and PSC Spark Holdings, LP",1,False,Ares Capital Corporation,Other,Provider of acute care telemedicine,4,210.2,107.3,228.8,210200000.0,107300000.0,228800000.0,True,False
Creative Foam Corporation,1,False,Main Street Capital Corporation,Healthcare Services,"Manufacturer of Custom Engineered Die Cut, Formed Foam, Nonwoven, and Multi-material Component Solutions for the Automotive and Healthcare Markets",3,209.91,106.28,208.15,209914000.0,106280000.0,208152000.0,True,True
"The RK Logistics Group, Inc.",1,False,Prospect Capital Corporation,Unknown,,12,209.06,78.16,176.33,209056000.0,78164000.0,176328000.0,False,False
Nationwide Loan Company LLC,1,False,Prospect Capital Corporation,Unknown,,9,207.46,42.53,236.6,207456000.0,42533000.0,236600000.0,False,False
Lionbridge Technologies Inc,1,False,FS KKR Capital Corp,Unknown,,2,205.8,205.8,202.3,205800000.0,205800000.0,202300000.0,False,False
"Enseo Acquisition, Inc.",1,False,Prospect Capital Corporation,Unknown,,4,205.52,102.76,205.52,205516000.0,102758000.0,205516000.0,False,False
Integrity Marketing Group LLC,1,False,FS KKR Capital Corp,Unknown,,7,201.0,201.2,201.2,201000000.0,201200000.0,201200000.0,False,False
VetCor Professional Practices LLC,1,False,FS KKR Capital Corp,Unknown,,7,200.5,64.5,199.3,200500000.0,64500000.0,199300000.0,False,False
Chamberlin Holding LLC,1,False,Main Street Capital Corporation,Software/Technology,Roofing and Waterproofing Specialty Contractor,10,200.16,31.24,114.72,200160000.0,31240000.0,114724000.0,True,True
WSHP FC Acquisition LLC and WSHP FC Holdings LLC,1,False,Ares Capital Corporation,Business Services,Provider of biospecimen products for pharma research,11,199.6,104.0,218.4,199600000.0,104000000.0,218400000.0,True,True
"Event Holdco, LLC",1,False,Main Street Capital Corporation,Software/Technology,Event and Learning Management Software for Healthcare Organizations and Systems,6,196.65,99.19,197.42,196648000.0,99186000.0,197420000.0,True,True
Galway Partners Holdings LLC,1,False,FS KKR Capital Corp,Unknown,,7,195.9,196.9,194.5,195900000.0,196900000.0,194500000.0,False,False
eCapital Finance Corp.,1,False,Ares Capital Corporation,Other,Consolidator of commercial finance businesses,6,195.9,195.9,192.2,195900000.0,195900000.0,192200000.0,True,False
Greystone Equity Member Corp,1,False,FS KKR Capital Corp,Unknown,,1,194.8,194.8,187.5,194800000.0,194800000.0,187500000.0,False,False
"ATI Restoration, LLC",1,False,Ares Capital Corporation,Other,Provider of disaster recovery services,5,194.6,99.3,198.6,194600000.0,99300000.0,198600000.0,True,False
"Eze Castle Integration, Inc.",1,False,Prospect Capital Corporation,Unknown,,6,193.6,96.8,193.58,193600000.0,96800000.0,193576000.0,False,False
"Help/Systems Holdings, Inc. (d/b/a Forta, LLC)",1,False,Prospect Capital Corporation,Unknown,,4,193.49,105.0,209.73,193488000.0,105000000.0,209730000.0,False,False
"Hyland Software, Inc.",1,False,Ares Capital Corporation,Software/Technology,Enterprise content management software provider,2,193.2,96.6,190.8,193200000.0,96600000.0,190800000.0,True,True
American Vision Partners,1,False,FS KKR Capital Corp,Unknown,,6,193.2,192.5,196.8,193200000.0,192500000.0,196800000.0,False,False
Karman Space Inc,1,False,FS KKR Capital Corp,Unknown,,5,192.9,192.9,189.6,192900000.0,192900000.0,189600000.0,False,False
Pearl Meyer Topco LLC,1,False,Main Street Capital Corporation,Business Services,Provider of Executive Compensation Consulting Services,5,190.54,51.18,128.11,190542000.0,51181000.0,128108000.0,True,True
"Finastra USA, Inc., DH Corporation/Societe DH, and Finastra Europe S.A R.L.",1,False,Ares Capital Corporation,Software/Technology,Provider of back-office software services for the banking sector,1,189.0,189.0,186.1,189000000.0,189000000.0,186100000.0,True,True
"DTI Holdco, Inc.",1,False,Prospect Capital Corporation,Unknown,,3,186.35,93.18,185.84,186352000.0,93176000.0,185842000.0,False,False
Performance Health Holdings Inc,1,False,FS KKR Capital Corp,Unknown,,2,186.1,186.4,185.1,186100000.0,186400000.0,185100000.0,False,False
"Kilter Finance, Preferred Stock",1,False,FS KKR Capital Corp,Unknown,,2,185.1,99700000.0,184.3,185100000.0,99700000000000.0,184300000.0,False,False
48Forty Solutions LLC,1,False,FS KKR Capital Corp,Unknown,,3,181.6,191.5,190.3,181600000.0,191500000.0,190300000.0,False,False
Ellucian Inc,1,False,FS KKR Capital Corp,Unknown,,1,181.0,179.2,171.9,181000000.0,179200000.0,171900000.0,False,False
Industria Chimica Emiliana Srl,1,False,FS KKR Capital Corp,Unknown,,3,180.7,17.6,206.9,180700000.0,17600000.0,206900000.0,False,False
"Pinnacle TopCo, LLC",1,False,Main Street Capital Corporation,Other,"Manufacturer and Distributor of Garbage Can Liners, Poly Bags, Produce Bags, and Other Similar Products",8,180.65,59.74,168.53,180646000.0,59740000.0,168530000.0,True,False
"Collections Acquisition Company, Inc.",1,False,Prospect Capital Corporation,Unknown,,4,179.15,89.58,179.15,179152000.0,89576000.0,179152000.0,False,False
"Direct Marketing Solutions, Inc.",1,False,Main Street Capital Corporation,Business Services,Provider of Omni-Channel Direct Marketing Services,8,178.7,50.68,134.52,178696000.0,50678000.0,134518000.0,True,True
ThreeSixty Group,1,False,FS KKR Capital Corp,Unknown,,3,178.6,45.8,184.3,178600000.0,45800000.0,184300000.0,False,False
Foundation Risk Partners Corp,1,False,FS KKR Capital Corp,Unknown,,6,176.6,176.5,175.1,176600000.0,176500000.0,175100000.0,False,False
GRT Rubber Technologies LLC,1,False,Main Street Capital Corporation,Other,Manufacturer of Engineered Rubber Products,4,174.67,42.89,111.64,174666000.0,42893000.0,111638000.0,True,False
"Pritchard Industries, LLC and LJ Pritchard TopCo Holdings, LLC",1,False,Ares Capital Corporation,Real Estate,Provider of janitorial and facilities management services,4,171.6,79.2,176.4,171600000.0,79200000.0,176400000.0,True,True
PartsSource Inc,1,False,FS KKR Capital Corp,Unknown,,7,169.5,170.3,168.9,169500000.0,170300000.0,168900000.0,False,False
"NH Kronos Buyer, Inc.",1,False,Prospect Capital Corporation,Unknown,,2,167.12,83.56,166.93,167124000.0,83562000.0,166934000.0,False,False
Follett Software Co,1,False,FS KKR Capital Corp,Unknown,,4,165.4,164.9,163.9,165400000.0,164900000.0,163900000.0,False,False
"Elemica Parent, Inc. & EZ Elemica Holdings, Inc.",1,False,Ares Capital Corporation,Software/Technology,SaaS based supply chain management software provider focused on chemical markets,6,165.4,77.7,164.6,165400000.0,77700000.0,164600000.0,True,True
Spins LLC,1,False,FS KKR Capital Corp,Unknown,,6,163.0,163.0,159.9,163000000.0,163000000.0,159900000.0,False,False
"ZenDesk, Inc., Zoro TopCo, Inc. and Zoro TopCo, LP",1,False,Ares Capital Corporation,Software/Technology,Provider of cloud-based customer support solutions,4,162.6,43.4,162.8,162600000.0,43400000.0,162800000.0,True,True
Dukes Root Control Inc.,1,False,Prospect Capital Corporation,Unknown,,7,161.55,79.59,162.41,161549000.0,79587000.0,162412000.0,False,False
"Shoes West, LLC (d/b/a Taos Footwear)",1,False,Prospect Capital Corporation,Unknown,,4,161.01,47.81,129.9,161010000.0,47811000.0,129900000.0,False,False
"Druid City Infusion, LLC",1,False,Prospect Capital Corporation,Unknown,,3,160.61,68.86,137.73,160606000.0,68865000.0,137730000.0,False,False
"WorkWave Intermediate II, LLC",1,False,Ares Capital Corporation,Software/Technology,Provider of cloud-based field services and fleet management solutions,5,159.6,79.8,159.6,159600000.0,79800000.0,159600000.0,True,True
Transaction Services Group Ltd,1,False,FS KKR Capital Corp,Unknown,,2,159.2,0.0,158.4,159200000.0,0.0,158400000.0,False,False
Individual FoodService,1,False,FS KKR Capital Corp,Unknown,,5,157.9,159.3,156.7,157900000.0,159300000.0,156700000.0,False,False
RME Group Holding Company,1,False,Prospect Capital Corporation,Unknown,,6,157.74,79.21,158.43,157740000.0,79214000.0,158428000.0,False,False
