bdc_name,bdc_cik,company_name,business_description,investment_type,principal,cost,fair_value,industry_sector
Ares Capital Corporation,1287750,"APG Intermediate Holdings Corporation and APG Holdings, LLC (4)",Aircraft performance software provider,Class A membership units,,9800000.0,5600000.0,Software/Technology
Ares Capital Corporation,1287750,"APG Intermediate Holdings Corporation and APG Holdings, LLC (4)",Aircraft performance software provider,,,22900000.0,18700000.0,Software/Technology
Ares Capital Corporation,1287750,"Appriss Health, LLC and Appriss Health Intermediate Holdings, Inc.","Software platform for identification, prevention and management of substance use disorder",First lien senior secured loan,5500000.0,5500000.0,5500000.0,Software/Technology
Ares Capital Corporation,1287750,"Appriss Health, LLC and Appriss Health Intermediate Holdings, Inc.","Software platform for identification, prevention and management of substance use disorder",Series A preferred shares,,48200000.0,48200000.0,Software/Technology
Ares Capital Corporation,1287750,"Appriss Health, LLC and Appriss Health Intermediate Holdings, Inc.","Software platform for identification, prevention and management of substance use disorder",,,53700000.0,53700000.0,Software/Technology
Ares Capital Corporation,1287750,"Aptean, Inc. and Aptean Acquiror Inc.","Provider of CRM, ERP and supply chain software applications",First lien senior secured loan,18400000.0,18200000.0,18400000.0,Software/Technology
Ares Capital Corporation,1287750,"Artifact Bidco, Inc.",Supply chain risk management SaaS platform for global enterprise clients,First lien senior secured loan,18900000.0,18900000.0,18900000.0,Software/Technology
Ares Capital Corporation,1287750,"Auctane, Inc.",Provider of mailing and shipping solutions,First lien senior secured loan,143800000.0,143800000.0,136600000.0,Transportation & Logistics
Ares Capital Corporation,1287750,"Avalara, Inc.",Provider of cloud-based solutions for transaction tax compliance worldwide,First lien senior secured loan,72200000.0,72200000.0,72200000.0,Software/Technology
Ares Capital Corporation,1287750,"Banyan Software Holdings, LLC and Banyan Software, LP",Vertical software businesses holding company,First lien senior secured revolving loan,1000000.0,1000000.0,1000000.0,Software/Technology
Ares Capital Corporation,1287750,"Banyan Software Holdings, LLC and Banyan Software, LP",Vertical software businesses holding company,First lien senior secured loan,1000000.0,1000000.0,1000000.0,Software/Technology
Ares Capital Corporation,1287750,"Banyan Software Holdings, LLC and Banyan Software, LP",Vertical software businesses holding company,First lien senior secured loan,200000.0,200000.0,200000.0,Software/Technology
Ares Capital Corporation,1287750,"Banyan Software Holdings, LLC and Banyan Software, LP",Vertical software businesses holding company,First lien senior secured loan,10400000.0,10400000.0,10400000.0,Software/Technology
Ares Capital Corporation,1287750,"Banyan Software Holdings, LLC and Banyan Software, LP",Vertical software businesses holding company,First lien senior secured loan,43000000.0,43000000.0,43000000.0,Software/Technology
Ares Capital Corporation,1287750,"Banyan Software Holdings, LLC and Banyan Software, LP",Vertical software businesses holding company,Preferred units,,4099999.999999999,12100000.0,Software/Technology
Ares Capital Corporation,1287750,"Banyan Software Holdings, LLC and Banyan Software, LP",Vertical software businesses holding company,,,59700000.0,67700000.0,Software/Technology
Ares Capital Corporation,1287750,"BCPE Pequod Buyer, Inc.",Provider of wealth management technology solutions to financial institutions,First lien senior secured loan,1000000.0,1000000.0,1000000.0,Software/Technology
Ares Capital Corporation,1287750,"BCTO Ignition Purchaser, Inc.",Enterprise software provider,First lien senior secured loan,4000000.0,4000000.0,4000000.0,Software/Technology
Ares Capital Corporation,1287750,"Bobcat Purchaser, LLC and Bobcat Topco, L.P.",Healthcare software provider,First lien senior secured loan,15700000.0,15700000.0,15700000.0,Software/Technology
Ares Capital Corporation,1287750,"Bobcat Purchaser, LLC and Bobcat Topco, L.P.",Healthcare software provider,Class A-1 units,,1700000.0,1800000.0,Software/Technology
Ares Capital Corporation,1287750,"Bobcat Purchaser, LLC and Bobcat Topco, L.P.",Healthcare software provider,,,17400000.0,17500000.0,Software/Technology
Ares Capital Corporation,1287750,Borrower R365 Holdings LLC,Provider of restaurant enterprise resource planning systems,First lien senior secured loan,15900000.0,15800000.0,15900000.0,Software/Technology
Ares Capital Corporation,1287750,Borrower R365 Holdings LLC,Provider of restaurant enterprise resource planning systems,First lien senior secured loan,1900000.0,1900000.0,1900000.0,Software/Technology
Ares Capital Corporation,1287750,Borrower R365 Holdings LLC,Provider of restaurant enterprise resource planning systems,,,17700000.0,17800000.0,Software/Technology
Ares Capital Corporation,1287750,"Bottomline Technologies, Inc. and Legal Spend Holdings, LLC",Provider of payment automation solutions,First lien senior secured loan,8000000.0,8000000.0,8000000.0,Other
Ares Capital Corporation,1287750,"Bottomline Technologies, Inc. and Legal Spend Holdings, LLC",Provider of payment automation solutions,First lien senior secured loan,4200000.0,4200000.0,4200000.0,Other
Ares Capital Corporation,1287750,"Bottomline Technologies, Inc. and Legal Spend Holdings, LLC",Provider of payment automation solutions,,,12200000.0,12200000.0,Other
Ares Capital Corporation,1287750,"Businessolver.com, Inc.",Provider of SaaS-based benefits solutions for employers and employees,First lien senior secured loan,600000.0,600000.0,600000.0,Software/Technology
Ares Capital Corporation,1287750,"Cardinal Parent, Inc. and Packers Software Intermediate Holdings, Inc.",Provider of software and technology-enabled content and analytical solutions to insurance brokers,First lien senior secured loan,11000000.0,10600000.0,10500000.0,Software/Technology
Ares Capital Corporation,1287750,"Cardinal Parent, Inc. and Packers Software Intermediate Holdings, Inc.",Provider of software and technology-enabled content and analytical solutions to insurance brokers,Second lien senior secured loan,64300000.0,64300000.0,61700000.0,Software/Technology
Ares Capital Corporation,1287750,"Cardinal Parent, Inc. and Packers Software Intermediate Holdings, Inc.",Provider of software and technology-enabled content and analytical solutions to insurance brokers,Series A-2 preferred shares,,14000000.0,12300000.0,Software/Technology
Ares Capital Corporation,1287750,"Cardinal Parent, Inc. and Packers Software Intermediate Holdings, Inc.",Provider of software and technology-enabled content and analytical solutions to insurance brokers,Series A-3 preferred shares,,16800000.0,14800000.0,Software/Technology
Ares Capital Corporation,1287750,"Cardinal Parent, Inc. and Packers Software Intermediate Holdings, Inc.",Provider of software and technology-enabled content and analytical solutions to insurance brokers,Series A preferred shares,,39300000.0,34500000.0,Software/Technology
Ares Capital Corporation,1287750,"Cardinal Parent, Inc. and Packers Software Intermediate Holdings, Inc.",Provider of software and technology-enabled content and analytical solutions to insurance brokers,,,145000000.0,133800000.0,Software/Technology
Ares Capital Corporation,1287750,"Centralsquare Technologies, LLC and Supermoose Newco, Inc.",Provider of mission-critical software solutions for the public sector,First lien senior secured loan,141900000.0,141900000.0,141900000.0,Software/Technology
Ares Capital Corporation,1287750,"Centralsquare Technologies, LLC and Supermoose Newco, Inc.",Provider of mission-critical software solutions for the public sector,Series A preferred stock,,92600000.0,92600000.0,Software/Technology
Ares Capital Corporation,1287750,"Centralsquare Technologies, LLC and Supermoose Newco, Inc.",Provider of mission-critical software solutions for the public sector,,,234500000.0,234500000.0,Software/Technology
Ares Capital Corporation,1287750,"Cloud Software Group, Inc., Picard Parent, Inc., Cloud Software Group Holdings, Inc., Picard HoldCo, LLC and Elliott Alto Co-Investor Aggregator L.P.","Provider of server, application and desktop virtualization, networking, software as a service, and cloud computing technologies",First lien senior secured notes,86500000.0,84800000.0,84900000.0,Software/Technology
Ares Capital Corporation,1287750,"Cloud Software Group, Inc., Picard Parent, Inc., Cloud Software Group Holdings, Inc., Picard HoldCo, LLC and Elliott Alto Co-Investor Aggregator L.P.","Provider of server, application and desktop virtualization, networking, software as a service, and cloud computing technologies",First lien senior secured loan,3500000.0,3500000.0,3500000.0,Software/Technology
Ares Capital Corporation,1287750,"Cloud Software Group, Inc., Picard Parent, Inc., Cloud Software Group Holdings, Inc., Picard HoldCo, LLC and Elliott Alto Co-Investor Aggregator L.P.","Provider of server, application and desktop virtualization, networking, software as a service, and cloud computing technologies",Second lien senior secured notes,121000000.0,113500000.0,122800000.0,Software/Technology
Ares Capital Corporation,1287750,"Cloud Software Group, Inc., Picard Parent, Inc., Cloud Software Group Holdings, Inc., Picard HoldCo, LLC and Elliott Alto Co-Investor Aggregator L.P.","Provider of server, application and desktop virtualization, networking, software as a service, and cloud computing technologies",Limited partnership interests,,12300000.0,35300000.0,Software/Technology
Ares Capital Corporation,1287750,"Cloud Software Group, Inc., Picard Parent, Inc., Cloud Software Group Holdings, Inc., Picard HoldCo, LLC and Elliott Alto Co-Investor Aggregator L.P.","Provider of server, application and desktop virtualization, networking, software as a service, and cloud computing technologies",,,214100000.0,246500000.0,Software/Technology
Ares Capital Corporation,1287750,"Community Brands ParentCo, LLC",Software and payment services provider to non-profit institutions,Class A units,,5000000.0,3000000.0,Software/Technology
Ares Capital Corporation,1287750,"Computer Services, Inc.",Infrastructure software provider to community banks,First lien senior secured loan,33500000.0,33500000.0,33500000.0,Software/Technology
Ares Capital Corporation,1287750,"Computer Services, Inc.",Infrastructure software provider to community banks,First lien senior secured loan,5400000.0,5400000.0,5400000.0,Software/Technology
Ares Capital Corporation,1287750,"Computer Services, Inc.",Infrastructure software provider to community banks,First lien senior secured loan,100000.0,100000.0,100000.0,Software/Technology
Ares Capital Corporation,1287750,"Computer Services, Inc.",Infrastructure software provider to community banks,,,39000000.0,39000000.0,Software/Technology
Ares Capital Corporation,1287750,"Conservice Midco, LLC",Provider of outsourced utility management software and billing solutions,Second lien senior secured loan,15500000.0,15500000.0,15500000.0,Software/Technology
Ares Capital Corporation,1287750,"Consilio Midco Limited, Compusoft US LLC, and Consilio Investment Holdings, L.P.",Provider of sales software for the interior design industry,First lien senior secured revolving loan,5900000.0,5900000.0,5900000.0,Software/Technology
Ares Capital Corporation,1287750,"Consilio Midco Limited, Compusoft US LLC, and Consilio Investment Holdings, L.P.",Provider of sales software for the interior design industry,First lien senior secured revolving loan,1200000.0,1200000.0,1200000.0,Software/Technology
Ares Capital Corporation,1287750,"Consilio Midco Limited, Compusoft US LLC, and Consilio Investment Holdings, L.P.",Provider of sales software for the interior design industry,First lien senior secured revolving loan,2400000.0,2400000.0,2400000.0,Software/Technology
Ares Capital Corporation,1287750,"Consilio Midco Limited, Compusoft US LLC, and Consilio Investment Holdings, L.P.",Provider of sales software for the interior design industry,First lien senior secured loan,73300000.0,73300000.0,73300000.0,Software/Technology
Ares Capital Corporation,1287750,"Consilio Midco Limited, Compusoft US LLC, and Consilio Investment Holdings, L.P.",Provider of sales software for the interior design industry,First lien senior secured loan,400000.0,400000.0,400000.0,Software/Technology
Ares Capital Corporation,1287750,"Consilio Midco Limited, Compusoft US LLC, and Consilio Investment Holdings, L.P.",Provider of sales software for the interior design industry,First lien senior secured loan,28000000.0,30100000.0,28000000.0,Software/Technology
Ares Capital Corporation,1287750,"Consilio Midco Limited, Compusoft US LLC, and Consilio Investment Holdings, L.P.",Provider of sales software for the interior design industry,First lien senior secured loan,11500000.0,11500000.0,11500000.0,Software/Technology
Ares Capital Corporation,1287750,"Consilio Midco Limited, Compusoft US LLC, and Consilio Investment Holdings, L.P.",Provider of sales software for the interior design industry,First lien senior secured loan,3800000.0,3800000.0,3800000.0,Software/Technology
Ares Capital Corporation,1287750,"Consilio Midco Limited, Compusoft US LLC, and Consilio Investment Holdings, L.P.",Provider of sales software for the interior design industry,Common units,,4800000.0,9300000.0,Software/Technology
Ares Capital Corporation,1287750,"Consilio Midco Limited, Compusoft US LLC, and Consilio Investment Holdings, L.P.",Provider of sales software for the interior design industry,Series A common units,,200000.0,400000.0,Software/Technology
Ares Capital Corporation,1287750,"Consilio Midco Limited, Compusoft US LLC, and Consilio Investment Holdings, L.P.",Provider of sales software for the interior design industry,,,133600000.0,136200000.0,Software/Technology
Ares Capital Corporation,1287750,"CoreLogic, Inc. and T-VIII Celestial Co-Invest LP","Provider of information, insight, analytics, software and other outsourced services primarily to the mortgage, real estate and insurance sectors",Second lien senior secured loan,155700000.0,155700000.0,151000000.0,Software/Technology
Ares Capital Corporation,1287750,"CoreLogic, Inc. and T-VIII Celestial Co-Invest LP","Provider of information, insight, analytics, software and other outsourced services primarily to the mortgage, real estate and insurance sectors",Limited partnership units,,59700000.0,39500000.0,Software/Technology
Ares Capital Corporation,1287750,"CoreLogic, Inc. and T-VIII Celestial Co-Invest LP","Provider of information, insight, analytics, software and other outsourced services primarily to the mortgage, real estate and insurance sectors",,,215400000.0,190500000.0,Software/Technology
Ares Capital Corporation,1287750,"Cority Software Inc., Cority Software (USA) Inc., and Cority Parent, Inc.","Provider of environmental, health and safety software to track compliance data",First lien senior secured loan,6200000.0,6100000.0,6100000.0,Software/Technology
Ares Capital Corporation,1287750,"Cority Software Inc., Cority Software (USA) Inc., and Cority Parent, Inc.","Provider of environmental, health and safety software to track compliance data",First lien senior secured loan,4300000.0,4300000.0,4300000.0,Software/Technology
Ares Capital Corporation,1287750,"Cority Software Inc., Cority Software (USA) Inc., and Cority Parent, Inc.","Provider of environmental, health and safety software to track compliance data",First lien senior secured loan,100000.0,100000.0,100000.0,Software/Technology
Ares Capital Corporation,1287750,"Cority Software Inc., Cority Software (USA) Inc., and Cority Parent, Inc.","Provider of environmental, health and safety software to track compliance data",First lien senior secured loan,200000.0,200000.0,200000.0,Software/Technology
Ares Capital Corporation,1287750,"Cority Software Inc., Cority Software (USA) Inc., and Cority Parent, Inc.","Provider of environmental, health and safety software to track compliance data",First lien senior secured loan,7600000.0,7600000.0,7600000.0,Software/Technology
Ares Capital Corporation,1287750,"Cority Software Inc., Cority Software (USA) Inc., and Cority Parent, Inc.","Provider of environmental, health and safety software to track compliance data",First lien senior secured loan,10100000.0,10100000.0,10100000.0,Software/Technology
Ares Capital Corporation,1287750,"Cority Software Inc., Cority Software (USA) Inc., and Cority Parent, Inc.","Provider of environmental, health and safety software to track compliance data",Preferred equity,,300000.0,1100000.0,Software/Technology
Ares Capital Corporation,1287750,"Cority Software Inc., Cority Software (USA) Inc., and Cority Parent, Inc.","Provider of environmental, health and safety software to track compliance data",,,28700000.0,29500000.0,Software/Technology
Ares Capital Corporation,1287750,"Cornerstone OnDemand, Inc. and Sunshine Software Holdings, Inc.","Provider of a cloud-based, SaaS platform for talent management",First lien senior secured revolving loan,9700000.0,9700000.0,8500000.0,Software/Technology
Ares Capital Corporation,1287750,"Cornerstone OnDemand, Inc. and Sunshine Software Holdings, Inc.","Provider of a cloud-based, SaaS platform for talent management",First lien senior secured loan,1400000.0,1300000.0,1200000.0,Software/Technology
Ares Capital Corporation,1287750,"Cornerstone OnDemand, Inc. and Sunshine Software Holdings, Inc.","Provider of a cloud-based, SaaS platform for talent management",Second lien senior secured loan,137500000.0,137500000.0,121000000.0,Software/Technology
Ares Capital Corporation,1287750,"Cornerstone OnDemand, Inc. and Sunshine Software Holdings, Inc.","Provider of a cloud-based, SaaS platform for talent management",Series A preferred shares,,161800000.0,132600000.0,Software/Technology
Ares Capital Corporation,1287750,"Cornerstone OnDemand, Inc. and Sunshine Software Holdings, Inc.","Provider of a cloud-based, SaaS platform for talent management",Class A-1 common stock,,13600000.0,16200000.0,Software/Technology
Ares Capital Corporation,1287750,"Cornerstone OnDemand, Inc. and Sunshine Software Holdings, Inc.","Provider of a cloud-based, SaaS platform for talent management",,,323900000.0,279500000.0,Software/Technology
Ares Capital Corporation,1287750,"Coupa Holdings, LLC and Coupa Software Incorporated",Provider of Business Spend Management software,First lien senior secured loan,9000000.0,9000000.0,9000000.0,Software/Technology
Ares Capital Corporation,1287750,"Databricks, Inc.",Cloud-based data and AI platform that helps companies scale and manage data,First lien senior secured loan,100000.0,100000.0,100000.0,Software/Technology
Ares Capital Corporation,1287750,"Datix Bidco Limited and RL Datix Holdings (USA), Inc.",Global healthcare software company that provides software solutions for patient safety and risk management,First lien senior secured revolving loan,1300000.0,1300000.0,1200000.0,Software/Technology
Ares Capital Corporation,1287750,"Datix Bidco Limited and RL Datix Holdings (USA), Inc.",Global healthcare software company that provides software solutions for patient safety and risk management,First lien senior secured revolving loan,1100000.0,1100000.0,1100000.0,Software/Technology
Ares Capital Corporation,1287750,"Datix Bidco Limited and RL Datix Holdings (USA), Inc.",Global healthcare software company that provides software solutions for patient safety and risk management,First lien senior secured loan,104600000.0,104600000.0,104600000.0,Software/Technology
Ares Capital Corporation,1287750,"Datix Bidco Limited and RL Datix Holdings (USA), Inc.",Global healthcare software company that provides software solutions for patient safety and risk management,First lien senior secured loan,53100000.0,53100000.0,53100000.0,Software/Technology
Ares Capital Corporation,1287750,"Datix Bidco Limited and RL Datix Holdings (USA), Inc.",Global healthcare software company that provides software solutions for patient safety and risk management,,,160100000.0,160000000.0,Software/Technology
Ares Capital Corporation,1287750,"Dcert Buyer, Inc., DCert Preferred Holdings, Inc. and Destiny Digital Holdings, L.P.",Provider of internet security tools and solutions,Second lien senior secured loan,11000000.0,10500000.0,9500000.0,Software/Technology
Ares Capital Corporation,1287750,"Dcert Buyer, Inc., DCert Preferred Holdings, Inc. and Destiny Digital Holdings, L.P.",Provider of internet security tools and solutions,Series A preferred shares,,187700000.0,152100000.0,Software/Technology
Ares Capital Corporation,1287750,"Dcert Buyer, Inc., DCert Preferred Holdings, Inc. and Destiny Digital Holdings, L.P.",Provider of internet security tools and solutions,Series A units,,13300000.0,12600000.0,Software/Technology
Ares Capital Corporation,1287750,"Dcert Buyer, Inc., DCert Preferred Holdings, Inc. and Destiny Digital Holdings, L.P.",Provider of internet security tools and solutions,,,211500000.0,174200000.0,Software/Technology
Ares Capital Corporation,1287750,Denali Holdco LLC and Denali Apexco LP,Provider of cybersecurity audit and assessment services,First lien senior secured loan,33299999.999999996,33299999.999999996,33299999.999999996,Software/Technology
Ares Capital Corporation,1287750,Denali Holdco LLC and Denali Apexco LP,Provider of cybersecurity audit and assessment services,Class A units,,2500000.0,3600000.0,Software/Technology
Ares Capital Corporation,1287750,Denali Holdco LLC and Denali Apexco LP,Provider of cybersecurity audit and assessment services,,,35800000.0,36900000.0,Software/Technology
Ares Capital Corporation,1287750,"Diligent Corporation and Diligent Preferred Issuer, Inc.",Provider of secure SaaS solutions for board and leadership team documents,First lien senior secured loan,23500000.0,23400000.0,23500000.0,Software/Technology
Ares Capital Corporation,1287750,"Diligent Corporation and Diligent Preferred Issuer, Inc.",Provider of secure SaaS solutions for board and leadership team documents,Preferred stock,,18500000.0,18500000.0,Software/Technology
Ares Capital Corporation,1287750,"Diligent Corporation and Diligent Preferred Issuer, Inc.",Provider of secure SaaS solutions for board and leadership team documents,,,41900000.0,42000000.0,Software/Technology
Ares Capital Corporation,1287750,"DriveCentric Holdings, LLC",Provider of CRM software to the automotive dealership industry,First lien senior secured loan,12100000.0,12100000.0,12000000.0,Software/Technology
Ares Capital Corporation,1287750,"Echo Purchaser, Inc.","Software provider of mission critical security, supply chain, and collaboration solutions for highly regulated end markets",First lien senior secured revolving loan,1400000.0,1400000.0,1400000.0,Software/Technology
Ares Capital Corporation,1287750,"Echo Purchaser, Inc.","Software provider of mission critical security, supply chain, and collaboration solutions for highly regulated end markets",First lien senior secured loan,10500000.0,10500000.0,10500000.0,Software/Technology
Ares Capital Corporation,1287750,"Echo Purchaser, Inc.","Software provider of mission critical security, supply chain, and collaboration solutions for highly regulated end markets",,,11900000.0,11900000.0,Software/Technology
Ares Capital Corporation,1287750,"Eclipse Topco, Inc., Eclipse Investor Parent, L.P. and Eclipse Buyer, Inc.",Payment processing solution provider,First lien senior secured loan,196100000.0,196100000.0,194100000.0,Financial Services
Ares Capital Corporation,1287750,"Eclipse Topco, Inc., Eclipse Investor Parent, L.P. and Eclipse Buyer, Inc.",Payment processing solution provider,Preferred units,,6800000.0,6700000.0,Financial Services
Ares Capital Corporation,1287750,"Eclipse Topco, Inc., Eclipse Investor Parent, L.P. and Eclipse Buyer, Inc.",Payment processing solution provider,Class A common units,,600000.0,600000.0,Financial Services
Ares Capital Corporation,1287750,"Eclipse Topco, Inc., Eclipse Investor Parent, L.P. and Eclipse Buyer, Inc.",Payment processing solution provider,,,203500000.0,201400000.0,Financial Services
Ares Capital Corporation,1287750,"Edmunds Govtech, Inc.",Provider of ERP software solutions for local governments,First lien senior secured revolving loan,1700000.0,1700000.0,1700000.0,Software/Technology
Ares Capital Corporation,1287750,"Edmunds Govtech, Inc.",Provider of ERP software solutions for local governments,First lien senior secured loan,18500000.0,18500000.0,18500000.0,Software/Technology
Ares Capital Corporation,1287750,"Edmunds Govtech, Inc.",Provider of ERP software solutions for local governments,,,20200000.0,20200000.0,Software/Technology
Ares Capital Corporation,1287750,"Elemica Parent, Inc. & EZ Elemica Holdings, Inc.",SaaS based supply chain management software provider focused on chemical markets,First lien senior secured revolving loan,7300000.0,7300000.0,7200000.0,Software/Technology
Ares Capital Corporation,1287750,"Elemica Parent, Inc. & EZ Elemica Holdings, Inc.",SaaS based supply chain management software provider focused on chemical markets,First lien senior secured loan,59900000.0,59900000.0,59300000.0,Software/Technology
Ares Capital Corporation,1287750,"Elemica Parent, Inc. & EZ Elemica Holdings, Inc.",SaaS based supply chain management software provider focused on chemical markets,First lien senior secured loan,5600000.0,5600000.0,5600000.0,Software/Technology
Ares Capital Corporation,1287750,"Elemica Parent, Inc. & EZ Elemica Holdings, Inc.",SaaS based supply chain management software provider focused on chemical markets,First lien senior secured loan,4900000.0,4900000.0,4900000.0,Software/Technology
Ares Capital Corporation,1287750,"Elemica Parent, Inc. & EZ Elemica Holdings, Inc.",SaaS based supply chain management software provider focused on chemical markets,Preferred equity,,4600000.0,5700000.0,Software/Technology
Ares Capital Corporation,1287750,"Elemica Parent, Inc. & EZ Elemica Holdings, Inc.",SaaS based supply chain management software provider focused on chemical markets,,,82300000.0,82700000.0,Software/Technology
Ares Capital Corporation,1287750,"Enverus Holdings, Inc. and Titan DI Preferred Holdings, Inc.",SaaS based business analytics company focused on oil and gas industry,First lien senior secured revolving loan,200000.0,200000.0,200000.0,Software/Technology
Ares Capital Corporation,1287750,"Enverus Holdings, Inc. and Titan DI Preferred Holdings, Inc.",SaaS based business analytics company focused on oil and gas industry,First lien senior secured revolving loan,100000.0,100000.0,100000.0,Software/Technology
Ares Capital Corporation,1287750,"Enverus Holdings, Inc. and Titan DI Preferred Holdings, Inc.",SaaS based business analytics company focused on oil and gas industry,First lien senior secured loan,133900000.0,133900000.0,133900000.0,Software/Technology
Ares Capital Corporation,1287750,"Enverus Holdings, Inc. and Titan DI Preferred Holdings, Inc.",SaaS based business analytics company focused on oil and gas industry,Preferred stock,,55600000.0,56500000.0,Software/Technology
Ares Capital Corporation,1287750,"Enverus Holdings, Inc. and Titan DI Preferred Holdings, Inc.",SaaS based business analytics company focused on oil and gas industry,,,189800000.0,190700000.0,Software/Technology
Ares Capital Corporation,1287750,"EP Purchaser, LLC and TPG VIII EP Co-Invest II, L.P.",Provider of entertainment workforce and production management solutions,First lien senior secured loan,58300000.0,58000000.0,57700000.0,Media & Entertainment
Ares Capital Corporation,1287750,"EP Purchaser, LLC and TPG VIII EP Co-Invest II, L.P.",Provider of entertainment workforce and production management solutions,Second lien senior secured loan,88900000.0,88900000.0,88000000.0,Media & Entertainment
Ares Capital Corporation,1287750,"EP Purchaser, LLC and TPG VIII EP Co-Invest II, L.P.",Provider of entertainment workforce and production management solutions,Partnership units,,3100000.0,11100000.0,Media & Entertainment
Ares Capital Corporation,1287750,"eResearch Technology, Inc. and Astorg VII Co-Invest ERT","Provider of mission-critical, software-enabled clinical research solutions",First lien senior secured loan,1000000.0,1000000.0,1000000.0,Software/Technology
Ares Capital Corporation,1287750,"eResearch Technology, Inc. and Astorg VII Co-Invest ERT","Provider of mission-critical, software-enabled clinical research solutions",Second lien senior secured loan,27200000.0,26600000.0,27200000.0,Software/Technology
Ares Capital Corporation,1287750,"eResearch Technology, Inc. and Astorg VII Co-Invest ERT","Provider of mission-critical, software-enabled clinical research solutions",Second lien senior secured loan,30600000.0,30100000.0,30600000.0,Software/Technology
Ares Capital Corporation,1287750,"eResearch Technology, Inc. and Astorg VII Co-Invest ERT","Provider of mission-critical, software-enabled clinical research solutions",Limited partnership interest,,4500000.0,6900000.0,Software/Technology
Ares Capital Corporation,1287750,"eResearch Technology, Inc. and Astorg VII Co-Invest ERT","Provider of mission-critical, software-enabled clinical research solutions",,,62200000.0,65700000.0,Software/Technology
Ares Capital Corporation,1287750,"ESHA Research, LLC and RMCF VI CIV XLVIII, L.P.",Provider of nutritional information and software as a services (SaaS) compliance solutions,First lien senior secured revolving loan,900000.0,900000.0,900000.0,Software/Technology
Ares Capital Corporation,1287750,"ESHA Research, LLC and RMCF VI CIV XLVIII, L.P.",Provider of nutritional information and software as a services (SaaS) compliance solutions,First lien senior secured loan,6700000.0,6700000.0,6700000.0,Software/Technology
Ares Capital Corporation,1287750,"ESHA Research, LLC and RMCF VI CIV XLVIII, L.P.",Provider of nutritional information and software as a services (SaaS) compliance solutions,Limited partner interests,,6200000.0,8300000.000000001,Software/Technology
Ares Capital Corporation,1287750,"ESHA Research, LLC and RMCF VI CIV XLVIII, L.P.",Provider of nutritional information and software as a services (SaaS) compliance solutions,,,13800000.0,15900000.0,Software/Technology
Ares Capital Corporation,1287750,"Extrahop Networks, Inc.",Provider of real-time wire data analytics solutions for application and infrastructure monitoring,First lien senior secured loan,26000000.0,26000000.0,26000000.0,Software/Technology
