bdc_name,bdc_cik,company_name,holder_count,is_shared,other_holders,investment_type,industry_sector,business_description,fair_value_millions,principal_millions,cost_millions,fair_value,principal,cost,has_business_desc,industry_classified
Ares Capital Corporation,1287750,"Banyan Software Holdings, LLC and Banyan Software, LP",1,False,,First lien senior secured loan,Software/Technology,Vertical software businesses holding company,0.2,0.2,0.2,200000.0,200000.0,200000.0,True,True
Ares Capital Corporation,1287750,"Banyan Software Holdings, LLC and Banyan Software, LP",1,False,,First lien senior secured loan,Software/Technology,Vertical software businesses holding company,10.4,10.4,10.4,10400000.0,10400000.0,10400000.0,True,True
Ares Capital Corporation,1287750,"Banyan Software Holdings, LLC and Banyan Software, LP",1,False,,First lien senior secured loan,Software/Technology,Vertical software businesses holding company,43.0,43.0,43.0,43000000.0,43000000.0,43000000.0,True,True
Ares Capital Corporation,1287750,"Banyan Software Holdings, LLC and Banyan Software, LP",1,False,,Preferred units,Software/Technology,Vertical software businesses holding company,12.1,,4.1,12100000.0,,4099999.999999999,True,True
Ares Capital Corporation,1287750,"Banyan Software Holdings, LLC and Banyan Software, LP",1,False,,,Software/Technology,Vertical software businesses holding company,67.7,,59.7,67700000.0,,59700000.0,True,True
Ares Capital Corporation,1287750,"BCPE Pequod Buyer, Inc.",1,False,,First lien senior secured loan,Software/Technology,Provider of wealth management technology solutions to financial institutions,1.0,1.0,1.0,1000000.0,1000000.0,1000000.0,True,True
Ares Capital Corporation,1287750,"BCTO Ignition Purchaser, Inc.",1,False,,First lien senior secured loan,Software/Technology,Enterprise software provider,4.0,4.0,4.0,4000000.0,4000000.0,4000000.0,True,True
Ares Capital Corporation,1287750,"Bobcat Purchaser, LLC and Bobcat Topco, L.P.",1,False,,First lien senior secured loan,Software/Technology,Healthcare software provider,15.7,15.7,15.7,15700000.0,15700000.0,15700000.0,True,True
Ares Capital Corporation,1287750,"Bobcat Purchaser, LLC and Bobcat Topco, L.P.",1,False,,Class A-1 units,Software/Technology,Healthcare software provider,1.8,,1.7,1800000.0,,1700000.0,True,True
Ares Capital Corporation,1287750,"Bobcat Purchaser, LLC and Bobcat Topco, L.P.",1,False,,,Software/Technology,Healthcare software provider,17.5,,17.4,17500000.0,,17400000.0,True,True
Ares Capital Corporation,1287750,Borrower R365 Holdings LLC,1,False,,First lien senior secured loan,Software/Technology,Provider of restaurant enterprise resource planning systems,15.9,15.9,15.8,15900000.0,15900000.0,15800000.0,True,True
Ares Capital Corporation,1287750,Borrower R365 Holdings LLC,1,False,,First lien senior secured loan,Software/Technology,Provider of restaurant enterprise resource planning systems,1.9,1.9,1.9,1900000.0,1900000.0,1900000.0,True,True
Ares Capital Corporation,1287750,Borrower R365 Holdings LLC,1,False,,,Software/Technology,Provider of restaurant enterprise resource planning systems,17.8,,17.7,17800000.0,,17700000.0,True,True
Ares Capital Corporation,1287750,"Bottomline Technologies, Inc. and Legal Spend Holdings, LLC",1,False,,First lien senior secured loan,Other,Provider of payment automation solutions,8.0,8.0,8.0,8000000.0,8000000.0,8000000.0,True,False
Ares Capital Corporation,1287750,"Bottomline Technologies, Inc. and Legal Spend Holdings, LLC",1,False,,First lien senior secured loan,Other,Provider of payment automation solutions,4.2,4.2,4.2,4200000.0,4200000.0,4200000.0,True,False
Ares Capital Corporation,1287750,"Bottomline Technologies, Inc. and Legal Spend Holdings, LLC",1,False,,,Other,Provider of payment automation solutions,12.2,,12.2,12200000.0,,12200000.0,True,False
Ares Capital Corporation,1287750,"Businessolver.com, Inc.",1,False,,First lien senior secured loan,Software/Technology,Provider of SaaS-based benefits solutions for employers and employees,0.6,0.6,0.6,600000.0,600000.0,600000.0,True,True
Ares Capital Corporation,1287750,"Cardinal Parent, Inc. and Packers Software Intermediate Holdings, Inc.",1,False,,First lien senior secured loan,Software/Technology,Provider of software and technology-enabled content and analytical solutions to insurance brokers,10.5,11.0,10.6,10500000.0,11000000.0,10600000.0,True,True
Ares Capital Corporation,1287750,"Cardinal Parent, Inc. and Packers Software Intermediate Holdings, Inc.",1,False,,Second lien senior secured loan,Software/Technology,Provider of software and technology-enabled content and analytical solutions to insurance brokers,61.7,64.3,64.3,61700000.0,64300000.0,64300000.0,True,True
Ares Capital Corporation,1287750,"Cardinal Parent, Inc. and Packers Software Intermediate Holdings, Inc.",1,False,,Series A-2 preferred shares,Software/Technology,Provider of software and technology-enabled content and analytical solutions to insurance brokers,12.3,,14.0,12300000.0,,14000000.0,True,True
Ares Capital Corporation,1287750,"Cardinal Parent, Inc. and Packers Software Intermediate Holdings, Inc.",1,False,,Series A-3 preferred shares,Software/Technology,Provider of software and technology-enabled content and analytical solutions to insurance brokers,14.8,,16.8,14800000.0,,16800000.0,True,True
Ares Capital Corporation,1287750,"Cardinal Parent, Inc. and Packers Software Intermediate Holdings, Inc.",1,False,,Series A preferred shares,Software/Technology,Provider of software and technology-enabled content and analytical solutions to insurance brokers,34.5,,39.3,34500000.0,,39300000.0,True,True
Ares Capital Corporation,1287750,"Cardinal Parent, Inc. and Packers Software Intermediate Holdings, Inc.",1,False,,,Software/Technology,Provider of software and technology-enabled content and analytical solutions to insurance brokers,133.8,,145.0,133800000.0,,145000000.0,True,True
Ares Capital Corporation,1287750,"Centralsquare Technologies, LLC and Supermoose Newco, Inc.",1,False,,First lien senior secured loan,Software/Technology,Provider of mission-critical software solutions for the public sector,141.9,141.9,141.9,141900000.0,141900000.0,141900000.0,True,True
Ares Capital Corporation,1287750,"Centralsquare Technologies, LLC and Supermoose Newco, Inc.",1,False,,Series A preferred stock,Software/Technology,Provider of mission-critical software solutions for the public sector,92.6,,92.6,92600000.0,,92600000.0,True,True
Ares Capital Corporation,1287750,"Centralsquare Technologies, LLC and Supermoose Newco, Inc.",1,False,,,Software/Technology,Provider of mission-critical software solutions for the public sector,234.5,,234.5,234500000.0,,234500000.0,True,True
Ares Capital Corporation,1287750,"Cloud Software Group, Inc., Picard Parent, Inc., Cloud Software Group Holdings, Inc., Picard HoldCo, LLC and Elliott Alto Co-Investor Aggregator L.P.",1,False,,First lien senior secured notes,Software/Technology,"Provider of server, application and desktop virtualization, networking, software as a service, and cloud computing technologies",84.9,86.5,84.8,84900000.0,86500000.0,84800000.0,True,True
Ares Capital Corporation,1287750,"Cloud Software Group, Inc., Picard Parent, Inc., Cloud Software Group Holdings, Inc., Picard HoldCo, LLC and Elliott Alto Co-Investor Aggregator L.P.",1,False,,First lien senior secured loan,Software/Technology,"Provider of server, application and desktop virtualization, networking, software as a service, and cloud computing technologies",3.5,3.5,3.5,3500000.0,3500000.0,3500000.0,True,True
Ares Capital Corporation,1287750,"Cloud Software Group, Inc., Picard Parent, Inc., Cloud Software Group Holdings, Inc., Picard HoldCo, LLC and Elliott Alto Co-Investor Aggregator L.P.",1,False,,Second lien senior secured notes,Software/Technology,"Provider of server, application and desktop virtualization, networking, software as a service, and cloud computing technologies",122.8,121.0,113.5,122800000.0,121000000.0,113500000.0,True,True
Ares Capital Corporation,1287750,"Cloud Software Group, Inc., Picard Parent, Inc., Cloud Software Group Holdings, Inc., Picard HoldCo, LLC and Elliott Alto Co-Investor Aggregator L.P.",1,False,,Limited partnership interests,Software/Technology,"Provider of server, application and desktop virtualization, networking, software as a service, and cloud computing technologies",35.3,,12.3,35300000.0,,12300000.0,True,True
Ares Capital Corporation,1287750,"Cloud Software Group, Inc., Picard Parent, Inc., Cloud Software Group Holdings, Inc., Picard HoldCo, LLC and Elliott Alto Co-Investor Aggregator L.P.",1,False,,,Software/Technology,"Provider of server, application and desktop virtualization, networking, software as a service, and cloud computing technologies",246.5,,214.1,246500000.0,,214100000.0,True,True
Ares Capital Corporation,1287750,"Community Brands ParentCo, LLC",1,False,,Class A units,Software/Technology,Software and payment services provider to non-profit institutions,3.0,,5.0,3000000.0,,5000000.0,True,True
Ares Capital Corporation,1287750,"Computer Services, Inc.",1,False,,First lien senior secured loan,Software/Technology,Infrastructure software provider to community banks,33.5,33.5,33.5,33500000.0,33500000.0,33500000.0,True,True
Ares Capital Corporation,1287750,"Computer Services, Inc.",1,False,,First lien senior secured loan,Software/Technology,Infrastructure software provider to community banks,5.4,5.4,5.4,5400000.0,5400000.0,5400000.0,True,True
Ares Capital Corporation,1287750,"Computer Services, Inc.",1,False,,First lien senior secured loan,Software/Technology,Infrastructure software provider to community banks,0.1,0.1,0.1,100000.0,100000.0,100000.0,True,True
Ares Capital Corporation,1287750,"Computer Services, Inc.",1,False,,,Software/Technology,Infrastructure software provider to community banks,39.0,,39.0,39000000.0,,39000000.0,True,True
Ares Capital Corporation,1287750,"Conservice Midco, LLC",1,False,,Second lien senior secured loan,Software/Technology,Provider of outsourced utility management software and billing solutions,15.5,15.5,15.5,15500000.0,15500000.0,15500000.0,True,True
Ares Capital Corporation,1287750,"Consilio Midco Limited, Compusoft US LLC, and Consilio Investment Holdings, L.P.",1,False,,First lien senior secured revolving loan,Software/Technology,Provider of sales software for the interior design industry,5.9,5.9,5.9,5900000.0,5900000.0,5900000.0,True,True
Ares Capital Corporation,1287750,"Consilio Midco Limited, Compusoft US LLC, and Consilio Investment Holdings, L.P.",1,False,,First lien senior secured revolving loan,Software/Technology,Provider of sales software for the interior design industry,1.2,1.2,1.2,1200000.0,1200000.0,1200000.0,True,True
Ares Capital Corporation,1287750,"Consilio Midco Limited, Compusoft US LLC, and Consilio Investment Holdings, L.P.",1,False,,First lien senior secured revolving loan,Software/Technology,Provider of sales software for the interior design industry,2.4,2.4,2.4,2400000.0,2400000.0,2400000.0,True,True
Ares Capital Corporation,1287750,"Consilio Midco Limited, Compusoft US LLC, and Consilio Investment Holdings, L.P.",1,False,,First lien senior secured loan,Software/Technology,Provider of sales software for the interior design industry,73.3,73.3,73.3,73300000.0,73300000.0,73300000.0,True,True
Ares Capital Corporation,1287750,"Consilio Midco Limited, Compusoft US LLC, and Consilio Investment Holdings, L.P.",1,False,,First lien senior secured loan,Software/Technology,Provider of sales software for the interior design industry,0.4,0.4,0.4,400000.0,400000.0,400000.0,True,True
Ares Capital Corporation,1287750,"Consilio Midco Limited, Compusoft US LLC, and Consilio Investment Holdings, L.P.",1,False,,First lien senior secured loan,Software/Technology,Provider of sales software for the interior design industry,28.0,28.0,30.1,28000000.0,28000000.0,30100000.0,True,True
Ares Capital Corporation,1287750,"Consilio Midco Limited, Compusoft US LLC, and Consilio Investment Holdings, L.P.",1,False,,First lien senior secured loan,Software/Technology,Provider of sales software for the interior design industry,11.5,11.5,11.5,11500000.0,11500000.0,11500000.0,True,True
Ares Capital Corporation,1287750,"Consilio Midco Limited, Compusoft US LLC, and Consilio Investment Holdings, L.P.",1,False,,First lien senior secured loan,Software/Technology,Provider of sales software for the interior design industry,3.8,3.8,3.8,3800000.0,3800000.0,3800000.0,True,True
Ares Capital Corporation,1287750,"Consilio Midco Limited, Compusoft US LLC, and Consilio Investment Holdings, L.P.",1,False,,Common units,Software/Technology,Provider of sales software for the interior design industry,9.3,,4.8,9300000.0,,4800000.0,True,True
Ares Capital Corporation,1287750,"Consilio Midco Limited, Compusoft US LLC, and Consilio Investment Holdings, L.P.",1,False,,Series A common units,Software/Technology,Provider of sales software for the interior design industry,0.4,,0.2,400000.0,,200000.0,True,True
Ares Capital Corporation,1287750,"Consilio Midco Limited, Compusoft US LLC, and Consilio Investment Holdings, L.P.",1,False,,,Software/Technology,Provider of sales software for the interior design industry,136.2,,133.6,136200000.0,,133600000.0,True,True
Ares Capital Corporation,1287750,"CoreLogic, Inc. and T-VIII Celestial Co-Invest LP",1,False,,Second lien senior secured loan,Software/Technology,"Provider of information, insight, analytics, software and other outsourced services primarily to the mortgage, real estate and insurance sectors",151.0,155.7,155.7,151000000.0,155700000.0,155700000.0,True,True
Ares Capital Corporation,1287750,"CoreLogic, Inc. and T-VIII Celestial Co-Invest LP",1,False,,Limited partnership units,Software/Technology,"Provider of information, insight, analytics, software and other outsourced services primarily to the mortgage, real estate and insurance sectors",39.5,,59.7,39500000.0,,59700000.0,True,True
Ares Capital Corporation,1287750,"CoreLogic, Inc. and T-VIII Celestial Co-Invest LP",1,False,,,Software/Technology,"Provider of information, insight, analytics, software and other outsourced services primarily to the mortgage, real estate and insurance sectors",190.5,,215.4,190500000.0,,215400000.0,True,True
Ares Capital Corporation,1287750,"Cority Software Inc., Cority Software (USA) Inc., and Cority Parent, Inc.",1,False,,First lien senior secured loan,Software/Technology,"Provider of environmental, health and safety software to track compliance data",6.1,6.2,6.1,6100000.0,6200000.0,6100000.0,True,True
Ares Capital Corporation,1287750,"Cority Software Inc., Cority Software (USA) Inc., and Cority Parent, Inc.",1,False,,First lien senior secured loan,Software/Technology,"Provider of environmental, health and safety software to track compliance data",4.3,4.3,4.3,4300000.0,4300000.0,4300000.0,True,True
Ares Capital Corporation,1287750,"Cority Software Inc., Cority Software (USA) Inc., and Cority Parent, Inc.",1,False,,First lien senior secured loan,Software/Technology,"Provider of environmental, health and safety software to track compliance data",0.1,0.1,0.1,100000.0,100000.0,100000.0,True,True
Ares Capital Corporation,1287750,"Cority Software Inc., Cority Software (USA) Inc., and Cority Parent, Inc.",1,False,,First lien senior secured loan,Software/Technology,"Provider of environmental, health and safety software to track compliance data",0.2,0.2,0.2,200000.0,200000.0,200000.0,True,True
Ares Capital Corporation,1287750,"Cority Software Inc., Cority Software (USA) Inc., and Cority Parent, Inc.",1,False,,First lien senior secured loan,Software/Technology,"Provider of environmental, health and safety software to track compliance data",7.6,7.6,7.6,7600000.0,7600000.0,7600000.0,True,True
Ares Capital Corporation,1287750,"Cority Software Inc., Cority Software (USA) Inc., and Cority Parent, Inc.",1,False,,First lien senior secured loan,Software/Technology,"Provider of environmental, health and safety software to track compliance data",10.1,10.1,10.1,10100000.0,10100000.0,10100000.0,True,True
Ares Capital Corporation,1287750,"Cority Software Inc., Cority Software (USA) Inc., and Cority Parent, Inc.",1,False,,Preferred equity,Software/Technology,"Provider of environmental, health and safety software to track compliance data",1.1,,0.3,1100000.0,,300000.0,True,True
Ares Capital Corporation,1287750,"Cority Software Inc., Cority Software (USA) Inc., and Cority Parent, Inc.",1,False,,,Software/Technology,"Provider of environmental, health and safety software to track compliance data",29.5,,28.7,29500000.0,,28700000.0,True,True
Ares Capital Corporation,1287750,"Cornerstone OnDemand, Inc. and Sunshine Software Holdings, Inc.",1,False,,First lien senior secured revolving loan,Software/Technology,"Provider of a cloud-based, SaaS platform for talent management",8.5,9.7,9.7,8500000.0,9700000.0,9700000.0,True,True
Ares Capital Corporation,1287750,"Cornerstone OnDemand, Inc. and Sunshine Software Holdings, Inc.",1,False,,First lien senior secured loan,Software/Technology,"Provider of a cloud-based, SaaS platform for talent management",1.2,1.4,1.3,1200000.0,1400000.0,1300000.0,True,True
Ares Capital Corporation,1287750,"Cornerstone OnDemand, Inc. and Sunshine Software Holdings, Inc.",1,False,,Second lien senior secured loan,Software/Technology,"Provider of a cloud-based, SaaS platform for talent management",121.0,137.5,137.5,121000000.0,137500000.0,137500000.0,True,True
Ares Capital Corporation,1287750,"Cornerstone OnDemand, Inc. and Sunshine Software Holdings, Inc.",1,False,,Series A preferred shares,Software/Technology,"Provider of a cloud-based, SaaS platform for talent management",132.6,,161.8,132600000.0,,161800000.0,True,True
Ares Capital Corporation,1287750,"Cornerstone OnDemand, Inc. and Sunshine Software Holdings, Inc.",1,False,,Class A-1 common stock,Software/Technology,"Provider of a cloud-based, SaaS platform for talent management",16.2,,13.6,16200000.0,,13600000.0,True,True
Ares Capital Corporation,1287750,"Cornerstone OnDemand, Inc. and Sunshine Software Holdings, Inc.",1,False,,,Software/Technology,"Provider of a cloud-based, SaaS platform for talent management",279.5,,323.9,279500000.0,,323900000.0,True,True
Ares Capital Corporation,1287750,"Coupa Holdings, LLC and Coupa Software Incorporated",1,False,,First lien senior secured loan,Software/Technology,Provider of Business Spend Management software,9.0,9.0,9.0,9000000.0,9000000.0,9000000.0,True,True
Ares Capital Corporation,1287750,"Databricks, Inc.",1,False,,First lien senior secured loan,Software/Technology,Cloud-based data and AI platform that helps companies scale and manage data,0.1,0.1,0.1,100000.0,100000.0,100000.0,True,True
Ares Capital Corporation,1287750,"Datix Bidco Limited and RL Datix Holdings (USA), Inc.",1,False,,First lien senior secured revolving loan,Software/Technology,Global healthcare software company that provides software solutions for patient safety and risk management,1.2,1.3,1.3,1200000.0,1300000.0,1300000.0,True,True
Ares Capital Corporation,1287750,"Datix Bidco Limited and RL Datix Holdings (USA), Inc.",1,False,,First lien senior secured revolving loan,Software/Technology,Global healthcare software company that provides software solutions for patient safety and risk management,1.1,1.1,1.1,1100000.0,1100000.0,1100000.0,True,True
Ares Capital Corporation,1287750,"Datix Bidco Limited and RL Datix Holdings (USA), Inc.",1,False,,First lien senior secured loan,Software/Technology,Global healthcare software company that provides software solutions for patient safety and risk management,104.6,104.6,104.6,104600000.0,104600000.0,104600000.0,True,True
Ares Capital Corporation,1287750,"Datix Bidco Limited and RL Datix Holdings (USA), Inc.",1,False,,First lien senior secured loan,Software/Technology,Global healthcare software company that provides software solutions for patient safety and risk management,53.1,53.1,53.1,53100000.0,53100000.0,53100000.0,True,True
Ares Capital Corporation,1287750,"Datix Bidco Limited and RL Datix Holdings (USA), Inc.",1,False,,,Software/Technology,Global healthcare software company that provides software solutions for patient safety and risk management,160.0,,160.1,160000000.0,,160100000.0,True,True
Ares Capital Corporation,1287750,"Dcert Buyer, Inc., DCert Preferred Holdings, Inc. and Destiny Digital Holdings, L.P.",1,False,,Second lien senior secured loan,Software/Technology,Provider of internet security tools and solutions,9.5,11.0,10.5,9500000.0,11000000.0,10500000.0,True,True
Ares Capital Corporation,1287750,"Dcert Buyer, Inc., DCert Preferred Holdings, Inc. and Destiny Digital Holdings, L.P.",1,False,,Series A preferred shares,Software/Technology,Provider of internet security tools and solutions,152.1,,187.7,152100000.0,,187700000.0,True,True
Ares Capital Corporation,1287750,"Dcert Buyer, Inc., DCert Preferred Holdings, Inc. and Destiny Digital Holdings, L.P.",1,False,,Series A units,Software/Technology,Provider of internet security tools and solutions,12.6,,13.3,12600000.0,,13300000.0,True,True
Ares Capital Corporation,1287750,"Dcert Buyer, Inc., DCert Preferred Holdings, Inc. and Destiny Digital Holdings, L.P.",1,False,,,Software/Technology,Provider of internet security tools and solutions,174.2,,211.5,174200000.0,,211500000.0,True,True
Ares Capital Corporation,1287750,Denali Holdco LLC and Denali Apexco LP,1,False,,First lien senior secured loan,Software/Technology,Provider of cybersecurity audit and assessment services,33.3,33.3,33.3,33299999.999999996,33299999.999999996,33299999.999999996,True,True
Ares Capital Corporation,1287750,Denali Holdco LLC and Denali Apexco LP,1,False,,Class A units,Software/Technology,Provider of cybersecurity audit and assessment services,3.6,,2.5,3600000.0,,2500000.0,True,True
Ares Capital Corporation,1287750,Denali Holdco LLC and Denali Apexco LP,1,False,,,Software/Technology,Provider of cybersecurity audit and assessment services,36.9,,35.8,36900000.0,,35800000.0,True,True
Ares Capital Corporation,1287750,"Diligent Corporation and Diligent Preferred Issuer, Inc.",1,False,,First lien senior secured loan,Software/Technology,Provider of secure SaaS solutions for board and leadership team documents,23.5,23.5,23.4,23500000.0,23500000.0,23400000.0,True,True
Ares Capital Corporation,1287750,"Diligent Corporation and Diligent Preferred Issuer, Inc.",1,False,,Preferred stock,Software/Technology,Provider of secure SaaS solutions for board and leadership team documents,18.5,,18.5,18500000.0,,18500000.0,True,True
Ares Capital Corporation,1287750,"Diligent Corporation and Diligent Preferred Issuer, Inc.",1,False,,,Software/Technology,Provider of secure SaaS solutions for board and leadership team documents,42.0,,41.9,42000000.0,,41900000.0,True,True
Ares Capital Corporation,1287750,"DriveCentric Holdings, LLC",1,False,,First lien senior secured loan,Software/Technology,Provider of CRM software to the automotive dealership industry,12.0,12.1,12.1,12000000.0,12100000.0,12100000.0,True,True
Ares Capital Corporation,1287750,"Echo Purchaser, Inc.",1,False,,First lien senior secured revolving loan,Software/Technology,"Software provider of mission critical security, supply chain, and collaboration solutions for highly regulated end markets",1.4,1.4,1.4,1400000.0,1400000.0,1400000.0,True,True
Ares Capital Corporation,1287750,"Echo Purchaser, Inc.",1,False,,First lien senior secured loan,Software/Technology,"Software provider of mission critical security, supply chain, and collaboration solutions for highly regulated end markets",10.5,10.5,10.5,10500000.0,10500000.0,10500000.0,True,True
Ares Capital Corporation,1287750,"Echo Purchaser, Inc.",1,False,,,Software/Technology,"Software provider of mission critical security, supply chain, and collaboration solutions for highly regulated end markets",11.9,,11.9,11900000.0,,11900000.0,True,True
Ares Capital Corporation,1287750,"Eclipse Topco, Inc., Eclipse Investor Parent, L.P. and Eclipse Buyer, Inc.",1,False,,First lien senior secured loan,Financial Services,Payment processing solution provider,194.1,196.1,196.1,194100000.0,196100000.0,196100000.0,True,True
Ares Capital Corporation,1287750,"Eclipse Topco, Inc., Eclipse Investor Parent, L.P. and Eclipse Buyer, Inc.",1,False,,Preferred units,Financial Services,Payment processing solution provider,6.7,,6.8,6700000.0,,6800000.0,True,True
Ares Capital Corporation,1287750,"Eclipse Topco, Inc., Eclipse Investor Parent, L.P. and Eclipse Buyer, Inc.",1,False,,Class A common units,Financial Services,Payment processing solution provider,0.6,,0.6,600000.0,,600000.0,True,True
Ares Capital Corporation,1287750,"Eclipse Topco, Inc., Eclipse Investor Parent, L.P. and Eclipse Buyer, Inc.",1,False,,,Financial Services,Payment processing solution provider,201.4,,203.5,201400000.0,,203500000.0,True,True
Ares Capital Corporation,1287750,"Edmunds Govtech, Inc.",1,False,,First lien senior secured revolving loan,Software/Technology,Provider of ERP software solutions for local governments,1.7,1.7,1.7,1700000.0,1700000.0,1700000.0,True,True
Ares Capital Corporation,1287750,"Edmunds Govtech, Inc.",1,False,,First lien senior secured loan,Software/Technology,Provider of ERP software solutions for local governments,18.5,18.5,18.5,18500000.0,18500000.0,18500000.0,True,True
Ares Capital Corporation,1287750,"Edmunds Govtech, Inc.",1,False,,,Software/Technology,Provider of ERP software solutions for local governments,20.2,,20.2,20200000.0,,20200000.0,True,True
