bdc_name,bdc_cik,company_name,holder_count,is_shared,other_holders,industry_sector,business_description,position_count,investment_type,fair_value_millions,principal_millions,cost_millions,total_exposure_across_bdcs,fair_value,principal,cost,has_business_desc,industry_classified
Ares Capital Corporation,1287750,"Artivion, Inc.",1,False,,Healthcare Services,"Manufacturer, processor and distributor of medical devices and implantable human tissues",3,"First lien senior secured revolving loan, First lien senior secured loan",24.8,12.4,24.8,24.8,24800000.0,12400000.0,24800000.0,True,True
Ares Capital Corporation,1287750,"AthenaHealth Group Inc., Minerva Holdco, Inc. and BCPE Co-Invest (A), LP (15)",1,False,,Healthcare Services,Revenue cycle management provider to the physician practices and acute care hospitals,4,"First lien senior secured loan, Series A preferred stock, Class A units",566.8,0.1,562.2,566.8,566800000.0,100000.0,562200000.0,True,True
Ares Capital Corporation,1287750,"Auctane, Inc.",1,False,,Transportation & Logistics,Provider of mailing and shipping solutions,1,First lien senior secured loan,136.6,143.8,143.8,136.6,136600000.0,143800000.0,143800000.0,True,True
Ares Capital Corporation,1287750,"Avalara, Inc.",1,False,,Software/Technology,Provider of cloud-based solutions for transaction tax compliance worldwide,1,First lien senior secured loan,72.2,72.2,72.2,72.2,72200000.0,72200000.0,72200000.0,True,True
Ares Capital Corporation,1287750,"Avalign Holdings, Inc. and Avalign Technologies, Inc.",1,False,,Healthcare Services,Full-service contract manufacturer of medical device components for the orthopedic OEM industry,3,"First lien senior secured revolving loan, First lien senior secured loan",75.2,40.5,81.0,75.2,75200000.0,40500000.0,81000000.0,True,True
Ares Capital Corporation,1287750,"BAART Programs, Inc., MedMark Services, Inc., and Canadian Addiction Treatment Centres LP",1,False,,Other,Opioid treatment provider,1,First lien senior secured loan,5.6,5.9,5.9,5.6,5600000.0,5900000.0,5900000.0,True,False
Ares Capital Corporation,1287750,"BCPE Pequod Buyer, Inc.",1,False,,Software/Technology,Provider of wealth management technology solutions to financial institutions,1,First lien senior secured loan,1.0,1.0,1.0,1.0,1000000.0,1000000.0,1000000.0,True,True
Ares Capital Corporation,1287750,"BCTO Ignition Purchaser, Inc.",1,False,,Software/Technology,Enterprise software provider,1,First lien senior secured loan,4.0,4.0,4.0,4.0,4000000.0,4000000.0,4000000.0,True,True
Ares Capital Corporation,1287750,"Bambino Group Holdings, LLC",1,False,,Healthcare Services,Dental services provider,1,Class A preferred units,0.8,0.0,1.0,0.8,800000.0,0.0,1000000.0,True,True
Ares Capital Corporation,1287750,"Banyan Software Holdings, LLC and Banyan Software, LP",1,False,,Software/Technology,Vertical software businesses holding company,7,"First lien senior secured revolving loan, First lien senior secured loan, Preferred units",135.4,55.6,119.4,135.4,135400000.0,55600000.0,119400000.0,True,True
Ares Capital Corporation,1287750,"Beacon Pointe Harmony, LLC",1,False,,Financial Services,Provider of comprehensive wealth management services,5,First lien senior secured loan,51.2,25.6,51.2,51.2,51200000.0,25600000.0,51200000.0,True,True
Ares Capital Corporation,1287750,"Bobcat Purchaser, LLC and Bobcat Topco, L.P.",1,False,,Software/Technology,Healthcare software provider,3,"First lien senior secured loan, Class A-1 units",35.0,15.7,34.8,35.0,35000000.0,15700000.0,34800000.0,True,True
Ares Capital Corporation,1287750,Borrower R365 Holdings LLC,1,False,,Software/Technology,Provider of restaurant enterprise resource planning systems,3,First lien senior secured loan,35.6,17.8,35.4,35.6,35600000.0,17800000.0,35400000.0,True,True
Ares Capital Corporation,1287750,"Bottomline Technologies, Inc. and Legal Spend Holdings, LLC",1,False,,Other,Provider of payment automation solutions,3,First lien senior secured loan,24.4,12.2,24.4,24.4,24400000.0,12200000.0,24400000.0,True,False
Ares Capital Corporation,1287750,"Businessolver.com, Inc.",1,False,,Software/Technology,Provider of SaaS-based benefits solutions for employers and employees,1,First lien senior secured loan,0.6,0.6,0.6,0.6,600000.0,600000.0,600000.0,True,True
Ares Capital Corporation,1287750,"CVP Holdco, Inc. and OMERS Wildcats Investment Holdings LLC",1,False,,Healthcare Services,Veterinary hospital operator,4,"First lien senior secured loan, Class A preferred units, Common stock",365.8,159.2,352.8,365.8,365800000.0,159200000.0,352800000.0,True,True
Ares Capital Corporation,1287750,"Capstone Acquisition Holdings, Inc., Capstone Logistics Holdings, Inc. and Capstone Parent Holdings, LP",1,False,,Retail,Outsourced supply chain solutions provider to operators of distribution centers,3,"First lien senior secured loan, Second lien senior secured loan, Class A units",110.1,94.1,101.4,110.1,110100000.0,94100000.0,101400000.0,True,True
Ares Capital Corporation,1287750,"Cardinal Parent, Inc. and Packers Software Intermediate Holdings, Inc.",1,False,,Software/Technology,Provider of software and technology-enabled content and analytical solutions to insurance brokers,6,"First lien senior secured loan, Second lien senior secured loan, Series A-2 preferred shares, Series A-3 preferred shares, Series A preferred shares",267.6,75.3,290.0,267.6,267600000.0,75300000.0,290000000.0,True,True
Ares Capital Corporation,1287750,"Center for Autism and Related Disorders, LLC",1,False,,Software/Technology,Autism treatment and services provider specializing in applied behavior analysis therapy,3,"First lien senior secured revolving loan, First lien senior secured loan",0.0,9.3,0.0,0.0,0.0,9300000.0,0.0,True,True
Ares Capital Corporation,1287750,"Centralsquare Technologies, LLC and Supermoose Newco, Inc.",1,False,,Software/Technology,Provider of mission-critical software solutions for the public sector,3,"First lien senior secured loan, Series A preferred stock",469.0,141.9,469.0,469.0,469000000.0,141900000.0,469000000.0,True,True
Ares Capital Corporation,1287750,Cliffwater LLC,1,False,,Financial Services,Provider of alternative investment advisory services,1,First lien senior secured loan,4.0,4.0,4.0,4.0,4000000.0,4000000.0,4000000.0,True,True
Ares Capital Corporation,1287750,"Cloud Software Group, Inc., Picard Parent, Inc., Cloud Software Group Holdings, Inc., Picard HoldCo, LLC and Elliott Alto Co-Investor Aggregator L.P.",1,False,,Software/Technology,"Provider of server, application and desktop virtualization, networking, software as a service, and cloud computing technologies",5,"First lien senior secured notes, First lien senior secured loan, Second lien senior secured notes, Limited partnership interests",493.0,211.0,428.2,493.0,493000000.0,211000000.0,428200000.0,True,True
Ares Capital Corporation,1287750,"Color Intermediate, LLC",1,False,,Software/Technology,Provider of pre-payment integrity software solution,1,First lien senior secured loan,20.0,20.0,20.0,20.0,20000000.0,20000000.0,20000000.0,True,True
Ares Capital Corporation,1287750,"Community Brands ParentCo, LLC",1,False,,Software/Technology,Software and payment services provider to non-profit institutions,1,Class A units,3.0,0.0,5.0,3.0,3000000.0,0.0,5000000.0,True,True
Ares Capital Corporation,1287750,"Compex Legal Services, Inc.",1,False,,Healthcare Services,Provider of outsourced litigated and non-litigated medical records retrieval services,3,"First lien senior secured revolving loan, First lien senior secured loan",7.4,3.7,7.4,7.4,7400000.0,3700000.0,7400000.0,True,True
Ares Capital Corporation,1287750,"Comprehensive EyeCare Partners, LLC",1,False,,Other,Vision care practice management company,3,"First lien senior secured revolving loan, First lien senior secured loan",4.4,2.3,4.6,4.4,4400000.0,2300000.0,4600000.0,True,False
Ares Capital Corporation,1287750,"Computer Services, Inc.",1,False,,Software/Technology,Infrastructure software provider to community banks,4,First lien senior secured loan,78.0,39.0,78.0,78.0,78000000.0,39000000.0,78000000.0,True,True
Ares Capital Corporation,1287750,"Conservice Midco, LLC",1,False,,Software/Technology,Provider of outsourced utility management software and billing solutions,1,Second lien senior secured loan,15.5,15.5,15.5,15.5,15500000.0,15500000.0,15500000.0,True,True
Ares Capital Corporation,1287750,"Consilio Midco Limited, Compusoft US LLC, and Consilio Investment Holdings, L.P.",1,False,,Software/Technology,Provider of sales software for the interior design industry,11,"First lien senior secured revolving loan, First lien senior secured loan, Common units, Series A common units",272.4,126.5,267.2,272.4,272400000.0,126500000.0,267200000.0,True,True
Ares Capital Corporation,1287750,Convera International Holdings Limited and Convera International Financial S.A R.L.,1,False,,Other,Provider of B2B international payment and FX risk management solutions,4,First lien senior secured loan,18.0,9.0,18.0,18.0,18000000.0,9000000.0,18000000.0,True,False
Ares Capital Corporation,1287750,"Convey Health Solutions, Inc.",1,False,,Software/Technology,Healthcare workforce management software provider,4,First lien senior secured loan,3.6,2.1,4.2,3.6,3600000.0,2100000.0,4200000.0,True,True
Ares Capital Corporation,1287750,"CoreLogic, Inc. and T-VIII Celestial Co-Invest LP",1,False,,Software/Technology,"Provider of information, insight, analytics, software and other outsourced services primarily to the mortgage, real estate and insurance sectors",3,"Second lien senior secured loan, Limited partnership units",381.0,155.7,430.8,381.0,381000000.0,155700000.0,430800000.0,True,True
Ares Capital Corporation,1287750,"Corient Holdings, Inc.",1,False,,Financial Services,Global wealth management firm,1,Series A preferred stock,63.1,0.0,41.4,63.1,63100000.0,0.0,41400000.0,True,True
Ares Capital Corporation,1287750,"Cority Software Inc., Cority Software (USA) Inc., and Cority Parent, Inc.",1,False,,Software/Technology,"Provider of environmental, health and safety software to track compliance data",8,"First lien senior secured loan, Preferred equity",59.0,28.5,57.4,59.0,59000000.0,28500000.0,57400000.0,True,True
Ares Capital Corporation,1287750,"Cornerstone OnDemand, Inc. and Sunshine Software Holdings, Inc.",1,False,,Software/Technology,"Provider of a cloud-based, SaaS platform for talent management",6,"First lien senior secured revolving loan, First lien senior secured loan, Second lien senior secured loan, Series A preferred shares, Class A-1 common stock",559.0,148.6,647.8,559.0,559000000.0,148600000.0,647800000.0,True,True
Ares Capital Corporation,1287750,"Coupa Holdings, LLC and Coupa Software Incorporated",1,False,,Software/Technology,Provider of Business Spend Management software,1,First lien senior secured loan,9.0,9.0,9.0,9.0,9000000.0,9000000.0,9000000.0,True,True
Ares Capital Corporation,1287750,Cradle Lux Bidco S.A.R.L.,1,False,,Industrial/Manufacturing,Provider of consumables and equipment for ART and IVF procedures,3,First lien senior secured loan,22.0,11.2,22.6,22.0,22000000.0,11200000.0,22600000.0,True,True
Ares Capital Corporation,1287750,"CrossCountry Mortgage, LLC and CrossCountry Holdco, LLC",1,False,,Financial Services,Mortgage company originating loans in the retail and consumer direct channels,1,Series D preferred units,28.5,0.0,24.9,28.5,28500000.0,0.0,24900000.0,True,True
Ares Capital Corporation,1287750,"Crown CT Parent Inc., Crown CT HoldCo Inc. and Crown CT Management LLC",1,False,,Healthcare Services,Provider of medical devices and services for the treatment of positional plagiocephaly,5,"First lien senior secured revolving loan, First lien senior secured loan, Class A shares, Common units",53.8,24.1,52.6,53.8,53800000.0,24100000.0,52600000.0,True,True
Ares Capital Corporation,1287750,DFC Global Facility Borrower III LLC,1,False,,Financial Services,Non-bank provider of alternative financial services,1,First lien senior secured revolving loan,91.4,91.3,98.3,91.4,91400000.0,91300000.0,98300000.0,True,True
Ares Capital Corporation,1287750,"DP Flores Holdings, LLC",1,False,,Other,Benefits administrator of tax-advantaged reimbursement plans,1,First lien senior secured loan,26.7,27.3,27.3,26.7,26700000.0,27300000.0,27300000.0,True,False
Ares Capital Corporation,1287750,"DTI Holdco, Inc. and OPE DTI Holdings, Inc.",1,False,,Business Services,Provider of legal process outsourcing and managed services,2,Class A common stock,32.2,0.0,15.0,32.2,32200000.000000004,0.0,15000000.0,True,True
Ares Capital Corporation,1287750,"Databricks, Inc.",1,False,,Software/Technology,Cloud-based data and AI platform that helps companies scale and manage data,1,First lien senior secured loan,0.1,0.1,0.1,0.1,100000.0,100000.0,100000.0,True,True
Ares Capital Corporation,1287750,"Datix Bidco Limited and RL Datix Holdings (USA), Inc.",1,False,,Software/Technology,Global healthcare software company that provides software solutions for patient safety and risk management,5,"First lien senior secured revolving loan, First lien senior secured loan",320.0,160.1,320.2,320.0,320000000.0,160100000.0,320200000.0,True,True
Ares Capital Corporation,1287750,"Dcert Buyer, Inc., DCert Preferred Holdings, Inc. and Destiny Digital Holdings, L.P.",1,False,,Software/Technology,Provider of internet security tools and solutions,4,"Second lien senior secured loan, Series A preferred shares, Series A units",348.4,11.0,423.0,348.4,348400000.0,11000000.0,423000000.0,True,True
Ares Capital Corporation,1287750,Denali Holdco LLC and Denali Apexco LP,1,False,,Software/Technology,Provider of cybersecurity audit and assessment services,3,"First lien senior secured loan, Class A units",73.8,33.3,71.6,73.8,73800000.0,33299999.999999996,71600000.0,True,True
Ares Capital Corporation,1287750,"Diligent Corporation and Diligent Preferred Issuer, Inc.",1,False,,Software/Technology,Provider of secure SaaS solutions for board and leadership team documents,3,"First lien senior secured loan, Preferred stock",84.0,23.5,83.8,84.0,84000000.0,23500000.0,83800000.0,True,True
Ares Capital Corporation,1287750,"Dorado Bidco, Inc.",1,False,,Food & Beverage,Provider of consumer and market insights for the food and beverage industry,1,First lien senior secured loan,6.7,6.8,6.8,6.7,6700000.0,6800000.0,6800000.0,True,True
Ares Capital Corporation,1287750,"DriveCentric Holdings, LLC",1,False,,Software/Technology,Provider of CRM software to the automotive dealership industry,1,First lien senior secured loan,12.0,12.1,12.1,12.0,12000000.0,12100000.0,12100000.0,True,True
Ares Capital Corporation,1287750,Drogon Bidco Inc. & Drogon Aggregator LP,1,False,,Other,Provider of fire safety and life safety services,3,"First lien senior secured loan, Class A-2 common units",45.0,19.8,43.4,45.0,45000000.0,19800000.0,43400000.0,True,False
Ares Capital Corporation,1287750,Duraserv LLC,1,False,,Other,Provider of commercial loading dock maintenance and remodeling services,1,First lien senior secured loan,25.3,25.3,25.3,25.3,25300000.0,25300000.0,25300000.0,True,False
Ares Capital Corporation,1287750,"EP Purchaser, LLC and TPG VIII EP Co-Invest II, L.P.",1,False,,Media & Entertainment,Provider of entertainment workforce and production management solutions,3,"First lien senior secured loan, Second lien senior secured loan, Partnership units",156.8,147.2,150.0,156.8,156800000.0,147200000.0,150000000.0,True,True
Ares Capital Corporation,1287750,"EP Wealth Advisors, LLC",1,False,,Financial Services,Wealth management and financial planning firm,3,First lien senior secured loan,1.6,0.8,1.6,1.6,1600000.0,800000.0,1600000.0,True,True
Ares Capital Corporation,1287750,"ESHA Research, LLC and RMCF VI CIV XLVIII, L.P.",1,False,,Software/Technology,Provider of nutritional information and software as a services (SaaS) compliance solutions,4,"First lien senior secured revolving loan, First lien senior secured loan, Limited partner interests",31.8,7.6,27.6,31.8,31800000.0,7600000.0,27600000.0,True,True
Ares Capital Corporation,1287750,"Echo Purchaser, Inc.",1,False,,Software/Technology,"Software provider of mission critical security, supply chain, and collaboration solutions for highly regulated end markets",3,"First lien senior secured revolving loan, First lien senior secured loan",23.8,11.9,23.8,23.8,23800000.0,11900000.0,23800000.0,True,True
Ares Capital Corporation,1287750,"Eclipse Topco, Inc., Eclipse Investor Parent, L.P. and Eclipse Buyer, Inc.",1,False,,Financial Services,Payment processing solution provider,4,"First lien senior secured loan, Preferred units, Class A common units",402.8,196.1,407.0,402.8,402800000.0,196100000.0,407000000.0,True,True
Ares Capital Corporation,1287750,"Edmunds Govtech, Inc.",1,False,,Software/Technology,Provider of ERP software solutions for local governments,3,"First lien senior secured revolving loan, First lien senior secured loan",40.4,20.2,40.4,40.4,40400000.0,20200000.0,40400000.0,True,True
Ares Capital Corporation,1287750,"Elemica Parent, Inc. & EZ Elemica Holdings, Inc.",1,False,,Software/Technology,SaaS based supply chain management software provider focused on chemical markets,6,"First lien senior secured revolving loan, First lien senior secured loan, Preferred equity",165.4,77.7,164.6,165.4,165400000.0,77700000.0,164600000.0,True,True
Ares Capital Corporation,1287750,"Elevation Services Parent Holdings, LLC",1,False,,Software/Technology,Elevator service platform,4,"First lien senior secured revolving loan, First lien senior secured loan",50.2,26.2,52.4,50.2,50200000.0,26200000.0,52400000.0,True,True
Ares Capital Corporation,1287750,"Empower Payments Investor, LLC",1,False,,Financial Services,Financial communication and payment solutions provider,1,First lien senior secured loan,32.8,32.8,32.2,32.8,32799999.999999996,32799999.999999996,32200000.000000004,True,True
Ares Capital Corporation,1287750,"Endeavor Bidco LLC and Endeavor TopCo, Inc.",1,False,,Software/Technology,Global securities finance trading platform,3,"First lien senior secured loan, Class A common units",15.8,6.1,16.0,15.8,15800000.0,6100000.0,16000000.0,True,True
Ares Capital Corporation,1287750,"Enverus Holdings, Inc. and Titan DI Preferred Holdings, Inc.",1,False,,Software/Technology,SaaS based business analytics company focused on oil and gas industry,5,"First lien senior secured revolving loan, First lien senior secured loan, Preferred stock",381.4,134.2,379.6,381.4,381400000.0,134200000.0,379600000.0,True,True
Ares Capital Corporation,1287750,"Evolent Health LLC and Evolent Health, Inc.",1,False,,Software/Technology,Medical technology company focused on value based care services and payment solutions,1,Series A preferred shares,4.0,0.0,3.8,4.0,4000000.0,0.0,3800000.0,True,True
Ares Capital Corporation,1287750,"Extrahop Networks, Inc.",1,False,,Software/Technology,Provider of real-time wire data analytics solutions for application and infrastructure monitoring,3,First lien senior secured loan,59.8,29.9,59.8,59.8,59800000.0,29900000.0,59800000.0,True,True
Ares Capital Corporation,1287750,"Finastra USA, Inc., DH Corporation/Societe DH, and Finastra Europe S.A R.L.",1,False,,Software/Technology,Provider of back-office software services for the banking sector,1,First lien senior secured loan,189.0,189.0,186.1,189.0,189000000.0,189000000.0,186100000.0,True,True
Ares Capital Corporation,1287750,"FlyWheel Acquireco, Inc.",1,False,,Business Services,"Professional employer organization offering human resources, compliance and risk management services",3,"First lien senior secured revolving loan, First lien senior secured loan",115.0,57.5,115.0,115.0,115000000.0,57500000.0,115000000.0,True,True
Ares Capital Corporation,1287750,"Forescout Technologies, Inc.",1,False,,Telecommunications,Network access control solutions provider,1,First lien senior secured loan,13.4,13.6,13.6,13.4,13400000.0,13600000.0,13600000.0,True,True
Ares Capital Corporation,1287750,"GHX Ultimate Parent Corporation, Commerce Parent, Inc. and Commerce Topco, LLC",1,False,,Healthcare Services,On-demand supply chain automation solutions provider to the healthcare industry,3,"First lien senior secured loan, Class A units",568.8,243.5,512.8,568.8,568800000.0,243500000.0,512800000.0,True,True
Ares Capital Corporation,1287750,GI Ranger Intermediate LLC,1,False,,Software/Technology,Provider of payment processing services and software to healthcare providers,4,"First lien senior secured revolving loan, First lien senior secured loan",26.4,13.5,27.0,26.4,26400000.0,13500000.0,27000000.0,True,True
Ares Capital Corporation,1287750,GTCR F Buyer Corp. and GTCR (D) Investors LP (15),1,False,,Software/Technology,Provider of end-to-end tech-enabled administrative services to private foundations,3,"First lien senior secured loan, Limited partnership interests",23.4,5.2,20.0,23.4,23400000.0,5200000.0,20000000.0,True,True
Ares Capital Corporation,1287750,"Global Medical Response, Inc. and GMR Buyer Corp.",1,False,,Healthcare Services,Emergency air medical services provider,6,"First lien senior secured loan, Series B preferred shares, Warrant to purchase units of common stock, Warrants to purchase shares of common stock",381.0,41.3,357.8,381.0,381000000.0,41300000.0,357800000.0,True,True
Ares Capital Corporation,1287750,"GraphPAD Software, LLC, Insightful Science Intermediate I, LLC and Insightful Science Holdings, LLC",1,False,,Software/Technology,"Provider of data analysis, statistics, and visualization software solutions for scientific research applications",4,"First lien senior secured loan, Senior subordinated loan, Preferred units",397.6,125.1,399.8,397.6,397600000.0,125100000.0,399800000.0,True,True
Ares Capital Corporation,1287750,"Guidepoint Security Holdings, LLC",1,False,,Software/Technology,Cybersecurity solutions provider,3,First lien senior secured loan,18.2,9.1,18.2,18.2,18200000.0,9100000.0,18200000.0,True,True
Ares Capital Corporation,1287750,"HH-Stella, Inc. and Bedrock Parent Holdings, LP",1,False,,Other,Provider of municipal solid waste transfer management services,6,"First lien senior secured revolving loan, First lien senior secured loan, Class A units",79.2,36.3,79.2,79.2,79200000.0,36300000.0,79200000.0,True,False
Ares Capital Corporation,1287750,"HP RSS Buyer, Inc.",1,False,,Other,"Provider of road striping, and road safety related services",2,First lien senior secured loan,18.8,18.8,18.8,18.8,18800000.0,18800000.0,18800000.0,True,False
Ares Capital Corporation,1287750,"HealthEdge Software, Inc.",1,False,,Software/Technology,"Provider of financial, administrative and clinical software platforms to the healthcare industry",1,First lien senior secured loan,26.5,26.5,26.5,26.5,26500000.0,26500000.0,26500000.0,True,True
Ares Capital Corporation,1287750,"Heavy Construction Systems Specialists, LLC",1,False,,Software/Technology,Provider of construction software,2,First lien senior secured loan,14.0,14.0,14.0,14.0,14000000.0,14000000.0,14000000.0,True,True
Ares Capital Corporation,1287750,"Help/Systems Holdings, Inc.",1,False,,Software/Technology,Provider of IT operations management and cybersecurity software,1,First lien senior secured revolving loan,1.5,1.7,1.7,1.5,1500000.0,1700000.0,1700000.0,True,True
Ares Capital Corporation,1287750,"HighTower Holding, LLC",1,False,,Financial Services,"Provider of investment, financial and retirement planning services",1,Senior subordinated loan,8.0,8.1,7.1,8.0,8000000.0,8100000.0,7100000.0,True,True
Ares Capital Corporation,1287750,"Honor Technology, Inc.",1,False,,Other,Nursing and home care provider,1,Warrant to purchase shares of Series D-2 preferred stock,0.0,0.0,0.1,0.0,0.0,0.0,100000.0,True,False
Ares Capital Corporation,1287750,HuFriedy Group Acquisition LLC,1,False,,Healthcare Services,Manufacturer of surgical dental equipment and sterile instruments,2,First lien senior secured loan,146.8,73.4,146.8,146.8,146800000.0,73400000.0,146800000.0,True,True
Ares Capital Corporation,1287750,"Huskies Parent, Inc., GI Insurity Parent LLC and GI Insurity TopCo LP",1,False,,Software/Technology,Insurance software provider,5,"First lien senior secured revolving loan, First lien senior secured loan, Senior subordinated loan, Company units",362.8,189.0,395.6,362.8,362800000.0,189000000.0,395600000.0,True,True
Ares Capital Corporation,1287750,"Hyland Software, Inc.",1,False,,Software/Technology,Enterprise content management software provider,2,First lien senior secured loan,193.2,96.6,190.8,193.2,193200000.0,96600000.0,190800000.0,True,True
Ares Capital Corporation,1287750,IQN Holding Corp.,1,False,,Software/Technology,Provider of extended workforce management software,3,"First lien senior secured revolving loan, First lien senior secured loan",4.6,2.3,4.6,4.6,4600000.0,2300000.0,4600000.0,True,True
