adsh	cik	name	countryba	stprba	cityba	zipba	bas1	bas2	baph	countryma	stprma	cityma	zipma	mas1	mas2	countryinc	stprinc	ein	former	changed	afs	wksi	fye	form	period	fy	fp	filed	fileNumber	accepted	prevrpt	detail	instance	pubfloatusd	floatdate	inlineurl
0001628280-25-050299	1849089	LAFAYETTE SQUARE USA, INC.	US	FL	MIAMI		175 SW 7TH STREET	UNIT 2307	7866880975	US	FL	MIAMI		175 SW 7TH STREET	UNIT 2307	US	DE	000000000	LAFAYETTE SQUARE EMPIRE BDC, INC.	20211101	4-NON	0	1231	10-Q	20250930	2025	Q3	20251106	814-01427	2025-11-06 17:06:00.0	0	1	ls-20250930_htm.xml			https://www.sec.gov/ix?doc=/Archives/edgar/data/1849089/000162828025050299/ls-20250930.htm
0002031283-25-000020	2031283	STONE POINT CREDIT INCOME FUND	US	CT	GREENWICH	06830	20 HORSENECK LANE		203-862-2900	US	CT	GREENWICH	06830	20 HORSENECK LANE		US	DE	000000000			4-NON	0	1231	10-Q	20250930	2025	Q3	20251113	814-01783	2025-11-13 16:12:00.0	0	1	spcif-20250930_htm.xml			https://www.sec.gov/ix?doc=/Archives/edgar/data/2031283/000203128325000020/spcif-20250930.htm
0001944831-25-000040	1944831	WILLOW TREE CAPITAL CORP	US	NY	NEW YORK	10022	450 PARK AVENUE	29TH FLOOR	(212) 218-1099	US	NY	NEW YORK	10022	450 PARK AVENUE	29TH FLOOR	US	MD	000000000			4-NON	0	1231	10-Q	20250930	2025	Q3	20251113	814-01797	2025-11-13 16:58:00.0	0	1	wt-20250930_htm.xml			https://www.sec.gov/ix?doc=/Archives/edgar/data/1944831/000194483125000040/wt-20250930.htm
0001193125-25-277125	1920453	FIDELITY PRIVATE CREDIT FUND	US	MA	BOSTON	02210	245 SUMMER STREET		617-563-7000	US	MA	BOSTON	02210	245 SUMMER STREET		US	DE	000000000	FIDELITY PRIVATE CREDIT TRUST	20220330	4-NON	0	1231	10-Q	20250930	2025	Q3	20251112	814-01571	2025-11-12 14:36:00.0	0	1	ck0001920453-20250930_htm.xml			https://www.sec.gov/ix?doc=/Archives/edgar/data/1920453/000119312525277125/ck0001920453-20250930.htm
0001213900-25-109300	1779523	MUZINICH BDC, INC.	US	NY	NEW YORK	10022	450 PARK AVENUE		212.888.3413	US	NY	NEW YORK	10022	450 PARK AVENUE		US	DE	000000000			4-NON	0	1231	10-Q	20250930	2025	Q3	20251112	814-01314	2025-11-12 16:54:00.0	0	1	ea0264890-10q_muzinich_htm.xml			https://www.sec.gov/ix?doc=/Archives/edgar/data/1779523/000121390025109300/ea0264890-10q_muzinich.htm
0001901164-25-000016	1901164	T. ROWE PRICE OHA SELECT PRIVATE CREDIT FUND	US	NY	NEW YORK	10017	C/O OAK HILL ADVISORS, L.P.	1 VANDERBILT, 16TH FLOOR	212-326-1500	US	NY	NEW YORK	10017	C/O OAK HILL ADVISORS, L.P.	1 VANDERBILT, 16TH FLOOR	US	DE	000000000	T. ROWE PRICE OHA PRIVATE CREDIT FUND	20220412	4-NON	0	1231	10-Q	20250930	2025	Q3	20251105	814-01561	2025-11-05 16:32:00.0	0	1	oha-20250930_htm.xml			https://www.sec.gov/ix?doc=/Archives/edgar/data/1901164/000190116425000016/oha-20250930.htm
0001911066-25-000038	1911066	NUVEEN CHURCHILL PRIVATE CAPITAL INCOME FUND	US	NY	NEW YORK	10152	375 PARK AVENUE	9TH FLOOR	(212) 478-9200	US	NY	NEW YORK	10152	375 PARK AVENUE	9TH FLOOR			886187397			4-NON	0	1231	10-Q	20250930	2025	Q3	20251110	814-01494	2025-11-10 17:18:00.0	0	1	ncpif-20250930_htm.xml			https://www.sec.gov/ix?doc=/Archives/edgar/data/1911066/000191106625000038/ncpif-20250930.htm
0001193125-25-274285	1973476	NORTH HAVEN PRIVATE INCOME FUND A LLC	US	NY	NEW YORK	10036	1585 BROADWAY		212-761-4000	US	NY	NEW YORK	10036	1585 BROADWAY		US	DE	000000000			4-NON	0	1231	10-Q	20250930	2025	Q3	20251110	000-56571	2025-11-10 16:17:00.0	0	1	ck0001973476-20250930_htm.xml			https://www.sec.gov/ix?doc=/Archives/edgar/data/1973476/000119312525274285/ck0001973476-20250930.htm
0001535778-25-000148	1535778	MSC INCOME FUND, INC.	US	TX	HOUSTON	77056	1300 POST OAK BOULEVARD, 8TH FLOOR		7133506000	US	TX	HOUSTON	77056	1300 POST OAK BOULEVARD, 8TH FLOOR				453999996	HMS INCOME FUND, INC.	20111129	4-NON	0	1231	10-Q	20250930	2025	Q3	20251114	814-00939	2025-11-14 11:06:00.0	0	1	msif-20250930_htm.xml			https://www.sec.gov/ix?doc=/Archives/edgar/data/1535778/000153577825000148/msif-20250930.htm
0001918712-25-000092	1918712	ARES STRATEGIC INCOME FUND	US	NY	NEW YORK	10067	245 PARK AVE	44TH FLOOR	212-710-2191	US	NY	NEW YORK	10067	245 PARK AVE	44TH FLOOR	US	NY	000000000	ARES PRIVATE CREDIT FUND	20220322	4-NON	0	1231	10-Q	20250930	2025	Q3	20251114	814-01512	2025-11-14 16:22:00.0	0	1	asif-20250930_htm.xml			https://www.sec.gov/ix?doc=/Archives/edgar/data/1918712/000191871225000092/asif-20250930.htm
0002071136-25-000009	2071136	NUVEEN CHURCHILL BDC V	US	NY	NEW YORK	10152	375 PARK AVENUE, 9TH FLOOR		212-478-9200	US	NY	NEW YORK	10152	375 PARK AVENUE, 9TH FLOOR		US	DE	000000000			4-NON	0	1231	10-Q	20250930	2025	Q3	20251113	814-01883	2025-11-12 17:37:00.0	0	1	ncbdcv-20250930_htm.xml			https://www.sec.gov/ix?doc=/Archives/edgar/data/2071136/000207113625000009/ncbdcv-20250930.htm
0001726548-25-000009	1726548	BC PARTNERS LENDING CORP	US	NY	NEW YORK	10022	650 MADISON AVENUE		212-891-2880	US	NY	NEW YORK	10022	650 MADISON AVENUE		US	MD	000000000			4-NON	0	1231	10-Q	20250930	2025	Q3	20251107	814-01269	2025-11-06 18:01:00.0	0	1	bcpl-20250930_htm.xml			https://www.sec.gov/ix?doc=/Archives/edgar/data/1726548/000172654825000009/bcpl-20250930.htm
0001193125-25-276920	1916608	TCW STAR DIRECT LENDING LLC	US	MA	BOSTON	02116	200 CLARENDON STREET	51ST FLOOR	617-936-2275	US	MA	BOSTON	02116	200 CLARENDON STREET	51ST FLOOR	US	DE	000000000	N MIDDLE MARKET LENDING, LLC	20220311	4-NON	0	1231	10-Q	20250930	2025	Q3	20251112	814-01566	2025-11-12 13:25:00.0	0	1	ck0001916608-20250930_htm.xml			https://www.sec.gov/ix?doc=/Archives/edgar/data/1916608/000119312525276920/ck0001916608-20250930.htm
0001104659-25-108430	1895316	BRIGHTWOOD CAPITAL CORP I	US	NY	NEW YORK	10019	810 SEVENTH AVENUE, 26TH FLOOR		646-957-9525	US	NY	NEW YORK	10019	810 SEVENTH AVENUE, 26TH FLOOR		US	MD	000000000			4-NON	0	1231	10-Q	20250930	2025	Q3	20251107	814-01563	2025-11-07 15:39:00.0	0	1	tmb-20250930x10q_htm.xml			https://www.sec.gov/ix?doc=/Archives/edgar/data/1895316/000110465925108430/tmb-20250930x10q.htm
0001193125-25-277533	1633336	CRESCENT CAPITAL BDC, INC.	US	CA	LOS ANGELES	90025	11100 SANTA MONICA BLVD.	SUITE 2000	310-235-5971	US	CA	LOS ANGELES	90025	11100 SANTA MONICA BLVD.	SUITE 2000	US	MD	473162282			4-NON	0	1231	10-Q	20250930	2025	Q3	20251112	814-01132	2025-11-12 16:08:00.0	0	1	ccap-20250930_htm.xml			https://www.sec.gov/ix?doc=/Archives/edgar/data/1633336/000119312525277533/ccap-20250930.htm
0001193125-25-279849	1603480	TCW DIRECT LENDING LLC	US	CA	LOS ANGELES	90071	515 SOUTH FLOWER ST		213-244-0000	US	CA	LOS ANGELES	90071	515 SOUTH FLOWER ST		US	DE	000000000	TCW INVESTMENT CORP.	20140324	4-NON	0	1231	10-Q	20250930	2025	Q3	20251113	814-01069	2025-11-13 14:30:00.0	0	1	ck0001603480-20250930_htm.xml			https://www.sec.gov/ix?doc=/Archives/edgar/data/1603480/000119312525279849/ck0001603480-20250930.htm
0001930087-25-000070	1930087	GOLUB CAPITAL PRIVATE CREDIT FUND	US	NY	NEW YORK	10166	200 PARK AVE	25TH FL	212-750-6060	US	NY	NEW YORK	10166	200 PARK AVE	25TH FL			922030260			4-NON	0	0930	10-K	20250930	2025	FY	20251125	814-01555	2025-11-25 17:13:00.0	0	1	gcred-20250930_htm.xml	0.00	20250930	https://www.sec.gov/ix?doc=/Archives/edgar/data/1930087/000193008725000070/gcred-20250930.htm
0001193125-25-271820	1834543	BLACKROCK DIRECT LENDING CORP.	US	CA	SANTA MONICA	90405	2951 28TH STREET, SUITE 1000		(310) 566-1094	US	CA	SANTA MONICA	90405	2951 28TH STREET, SUITE 1000		US	DE	000000000			4-NON	0	1231	10-Q	20250930	2025	Q3	20251107	814-01378	2025-11-07 13:18:00.0	0	1	ck0001834543-20250930_htm.xml			https://www.sec.gov/ix?doc=/Archives/edgar/data/1834543/000119312525271820/ck0001834543-20250930.htm
0001193125-25-277520	1674760	SILVER CAPITAL HOLDINGS LLC	US	NY	NEW YORK	10282	200 WEST STREET		212-902-1000	US	NY	NEW YORK	10282	200 WEST STREET		US	DE	000000000	GOLDMAN SACHS PRIVATE MIDDLE MARKET CREDIT LLC	20160516	4-NON	0	1231	10-Q	20250930	2025	Q3	20251112	814-01215	2025-11-12 16:06:00.0	0	1	ck0001674760-20250930_htm.xml			https://www.sec.gov/ix?doc=/Archives/edgar/data/1674760/000119312525277520/ck0001674760-20250930.htm
0001396440-25-000184	1396440	MAIN STREET CAPITAL CORP	US	TX	HOUSTON	77056	1300 POST OAK BOULEVARD	8TH FLOOR	(713) 350-6000	US	TX	HOUSTON	77056	1300 POST OAK BOULEVARD	8TH FLOOR	US	MD	412230745			1-LAF	0	1231	10-Q	20250930	2025	Q3	20251107	814-00746	2025-11-07 11:39:00.0	0	1	main-20250930_htm.xml			https://www.sec.gov/ix?doc=/Archives/edgar/data/1396440/000139644025000184/main-20250930.htm
0001193125-25-272093	1784700	VARAGON CAPITAL CORP	US	NY	NEW YORK	10036	151 WEST 42ND STREET	53RD FLOOR	212.235.2600	US	NY	NEW YORK	10036	151 WEST 42ND STREET	53RD FLOOR	US	MD	301206578	VARAGON CAPITAL CORP.	20190806	4-NON	0	1231	10-Q	20250930	2025	Q3	20251107	000-56450	2025-11-07 14:59:00.0	0	1	ck0001784700-20250930_htm.xml			https://www.sec.gov/ix?doc=/Archives/edgar/data/1784700/000119312525272093/ck0001784700-20250930.htm
0001628280-25-054265	2035713	CRESTLINE LENDING SOLUTIONS, LLC	US	TX	FORT WORTH	76102	201 MAIN STREET	SUITE 2100	817.339.7600	US	TX	FORT WORTH	76102	201 MAIN STREET	SUITE 2100			993640580			4-NON	0	1231	10-Q	20250930	2025	Q3	20251128	814-01893	2025-11-28 14:17:00.0	0	1	cls-20250930_htm.xml			https://www.sec.gov/ix?doc=/Archives/edgar/data/2035713/000162828025054265/cls-20250930.htm
0001580345-25-000032	1580345	TRIPLEPOINT VENTURE GROWTH BDC CORP.	US	CA	MENLO PARK	94025	2755 SAND HILL ROAD	SUITE 150	(650) 854-2090	US	CA	MENLO PARK	94025	2755 SAND HILL ROAD	SUITE 150	US	MD	463082016			2-ACC	0	1231	10-Q	20250930	2025	Q3	20251105	814-01044	2025-11-05 16:28:00.0	0	1	tpvg-20250930_htm.xml			https://www.sec.gov/ix?doc=/Archives/edgar/data/1580345/000158034525000032/tpvg-20250930.htm
0001628280-25-051535	1930679	KKR FS INCOME TRUST	US	PA	PHILADELPHIA	19112	201 ROUSE BOULEVARD		215-495-1150	US	PA	PHILADELPHIA	19112	201 ROUSE BOULEVARD		US	DE	880591692	FS KKR INCOME TRUST	20220523	4-NON	0	1231	10-Q	20250930	2025	Q3	20251112	814-01620	2025-11-12 15:04:00.0	0	1	kfit-20250930_htm.xml			https://www.sec.gov/ix?doc=/Archives/edgar/data/1930679/000162828025051535/kfit-20250930.htm
0001213900-25-108212	1747172	KAYNE ANDERSON BDC, INC.	US	TX	HOUSTON	77002	717 TEXAS AVENUE	22ND FLOOR	713-493-2000	US	TX	HOUSTON	77002	717 TEXAS AVENUE	22ND FLOOR	US	DE	830531326	KAYNE ANDERSON BDC, LLC	20180718	1-LAF	0	1231	10-Q	20250930	2025	Q3	20251110	814-01363	2025-11-10 16:12:00.0	0	1	ea0261574-10q_kayne_htm.xml			https://www.sec.gov/ix?doc=/Archives/edgar/data/1747172/000121390025108212/ea0261574-10q_kayne.htm
0001901612-25-000053	1901612	GOLUB CAPITAL BDC 4, INC.	US	NY	NEW YORK	10166	200 PARK AVENUE	25TH FLOOR	212-750-6060	US	NY	NEW YORK	10166	200 PARK AVENUE	25TH FLOOR	US	MD	000000000	GOLUB CAPITAL BDC 4 LLC	20211228	4-NON	0	0930	10-K	20250930	2025	FY	20251121	814-01504	2025-11-21 17:15:00.0	0	1	gbdc4-20250930_htm.xml	0.00	20250930	https://www.sec.gov/ix?doc=/Archives/edgar/data/1901612/000190161225000053/gbdc4-20250930.htm
0001736035-25-000021	1736035	BLACKSTONE SECURED LENDING FUND	US	NY	NEW YORK	10154	345 PARK AVENUE	31ST FLOOR	212-503-2100	US	NY	NEW YORK	10154	345 PARK AVENUE	31ST FLOOR	US	DE	000000000	BLACKSTONE / GSO SECURED LENDING FUND	20180329	1-LAF	0	1231	10-Q	20250930	2025	Q3	20251110	814-01299	2025-11-10 06:10:00.0	0	1	bxsl-20250930_htm.xml			https://www.sec.gov/ix?doc=/Archives/edgar/data/1736035/000173603525000021/bxsl-20250930.htm
0001193125-25-264654	1418076	SLR INVESTMENT CORP.	US	NY	NEW YORK	10022	500 PARK AVENUE	3RD FLOOR	(212) 993-1670	US	NY	NEW YORK	10022	500 PARK AVENUE	3RD FLOOR	US	MD	261381340	SOLAR CAPITAL LTD.	20071109	1-LAF	0	1231	10-Q	20250930	2025	Q3	20251104	814-00754	2025-11-04 16:07:00.0	0	1	ck0001418076-20250930_htm.xml			https://www.sec.gov/ix?doc=/Archives/edgar/data/1418076/000119312525264654/ck0001418076-20250930.htm
0001989817-25-000085	1989817	HPS CORPORATE CAPITAL SOLUTIONS FUND	US	NY	NEW YORK	10019	40 WEST 57TH STREET, 33RD FLOOR		212-287-5161	US	NY	NEW YORK	10019	40 WEST 57TH STREET, 33RD FLOOR		US	DE	936616284			4-NON	0	1231	10-Q	20250930	2025	Q3	20251114	814-01715	2025-11-14 16:36:00.0	0	1	hps-20250930_htm.xml			https://www.sec.gov/ix?doc=/Archives/edgar/data/1989817/000198981725000085/hps-20250930.htm
0001193125-25-277723	1837532	APOLLO DEBT SOLUTIONS BDC	US	NY	NEW YORK	10019	9 WEST 57TH STREET		212-515-3200	US	NY	NEW YORK	10019	9 WEST 57TH STREET				000000000			4-NON	0	1231	10-Q	20250930	2025	Q3	20251112	814-01424	2025-11-12 16:29:00.0	0	1	ck0001837532-20250930_htm.xml			https://www.sec.gov/ix?doc=/Archives/edgar/data/1837532/000119312525277723/ck0001837532-20250930.htm
0001193125-25-277734	1885968	T SERIES MIDDLE MARKET LOAN FUND LLC	US	NY	NEW YORK	10036	1585 BROADWAY		(212) 761-4000	US	NY	NEW YORK	10036	1585 BROADWAY		US	DE	000000000	T SERIES MIDDLE MARKET INVESTMENT LOAN FUND LLC	20211001	4-NON	0	1231	10-Q	20250930	2025	Q3	20251112	814-01453	2025-11-12 16:31:00.0	0	1	ck0001885968-20250930_htm.xml			https://www.sec.gov/ix?doc=/Archives/edgar/data/1885968/000119312525277734/ck0001885968-20250930.htm
0001987731-25-000028	1987731	WTI FUND XI, INC.	US	CA	PORTOLA VALLEY	94028	104 LA MESA DRIVE	SUITE 102	650-234-4300	US	CA	PORTOLA VALLEY	94028	104 LA MESA DRIVE	SUITE 102	US	MD	921737785			4-NON	0	1231	10-Q	20250930	2025	Q3	20251113	814-01718	2025-11-13 16:03:00.0	0	1	wti-20250930_htm.xml			https://www.sec.gov/ix?doc=/Archives/edgar/data/1987731/000198773125000028/wti-20250930.htm
0001193125-25-264618	1508655	SIXTH STREET SPECIALTY LENDING, INC.	US	TX	DALLAS	75201	2100 MCKINNEY AVENUE, SUITE 1500		469-621-3001	US	TX	DALLAS	75201	2100 MCKINNEY AVENUE, SUITE 1500		US	DE	273380000	TPG SPECIALTY LENDING, INC.	20101222	1-LAF	0	1231	10-Q	20250930	2025	Q3	20251104	001-36364	2025-11-04 16:03:00.0	0	1	tslx-20250930_htm.xml			https://www.sec.gov/ix?doc=/Archives/edgar/data/1508655/000119312525264618/tslx-20250930.htm
0001193125-25-282550	1588272	NEXPOINT CAPITAL, INC.	US	TX	DALLAS	75201	300 CRESCENT COURT	SUITE 700	214-276-6300	US	TX	DALLAS	75201	300 CRESCENT COURT	SUITE 700	US	DE	383926499	NEXPOINT CAPITAL, LLC	20131002	4-NON	0	1231	10-Q	20250930	2025	Q3	20251114	814-01074	2025-11-14 14:06:00.0	0	1	d74823d10q_htm.xml			https://www.sec.gov/ix?doc=/Archives/edgar/data/1588272/000119312525282550/d74823d10q.htm
0001766037-25-000018	1766037	NMF SLF I, INC.	US	NY	NEW YORK	10019	787 SEVENTH AVENUE	48TH FLOOR	(212) 720-0300	US	NY	NEW YORK	10019	787 SEVENTH AVENUE	48TH FLOOR	US	MD	000000000	NMF SENIOR LOAN FUND I, INC.	20190125	4-NON	0	1231	10-Q	20250930	2025	Q3	20251113	814-01330	2025-11-13 14:24:00.0	0	1	nmslf-20250930_htm.xml			https://www.sec.gov/ix?doc=/Archives/edgar/data/1766037/000176603725000018/nmslf-20250930.htm
0001193125-25-272318	1965934	OVERLAND ADVANTAGE	US	NY	NEW YORK	10152	375 PARK AVENUE	11TH FLOOR	212-672-5088	US	NY	NEW YORK	10152	375 PARK AVENUE	11TH FLOOR	US	DE	000000000			4-NON	0	1231	10-Q	20250930	2025	Q3	20251107	814-01698	2025-11-07 16:06:00.0	0	1	ck0001965934-20250930_htm.xml			https://www.sec.gov/ix?doc=/Archives/edgar/data/1965934/000119312525272318/ck0001965934-20250930.htm
0001193125-25-265688	1794776	PALMER SQUARE CAPITAL BDC INC.	US	KS	MISSION WOODS	66205	1900 SHAWNEE MISSION PARKWAY	SUITE 315	816-994-3200	US	KS	MISSION WOODS	66205	1900 SHAWNEE MISSION PARKWAY	SUITE 315	US	MD	843665200			2-ACC	0	1231	10-Q	20250930	2025	Q3	20251105	814-01334	2025-11-05 07:01:00.0	0	1	psbd-20250930_htm.xml			https://www.sec.gov/ix?doc=/Archives/edgar/data/1794776/000119312525265688/psbd-20250930.htm
0001140361-25-042261	1786835	STAR MOUNTAIN LOWER MIDDLE-MARKET CAPITAL CORP	US	NY	NEW YORK	10017	140 EAST 45TH STREET, 37TH FLOOR		646.787.0203	US	NY	NEW YORK	10017	140 EAST 45TH STREET, 37TH FLOOR		US	DE	842783833	STAR MOUNTAIN CREDIT OPPORTUNITIES FUND, LP	20190829	4-NON	0	1231	10-Q	20250930	2025	Q3	20251114	814-01399	2025-11-14 14:25:00.0	0	1	ef20054975_10q_htm.xml			https://www.sec.gov/ix?doc=/Archives/edgar/data/1786835/000114036125042261/ef20054975_10q.htm
0001193125-25-274253	2006758	MIDCAP APOLLO INSTITUTIONAL PRIVATE LENDING	US	NY	NEW YORK	10019	9 WEST 57TH STREET	42ND FLOOR	212-515-3200	US	NY	NEW YORK	10019	9 WEST 57TH STREET	42ND FLOOR	US	DE	934353274	MIDDLE MARKET APOLLO INSTITUTIONAL PRIVATE LENDING	20240103	4-NON	0	1231	10-Q	20250930	2025	Q3	20251110	814-01710	2025-11-10 16:13:00.0	0	1	ck0002006758-20250930_htm.xml			https://www.sec.gov/ix?doc=/Archives/edgar/data/2006758/000119312525274253/ck0002006758-20250930.htm
0001193125-25-277562	2020354	WEST BAY BDC LLC	US	NY	NEW YORK	10282	200 WEST STREET		312-655-4419	US	NY	NEW YORK	10282	200 WEST STREET		US	DE	000000000			4-NON	0	1231	10-Q	20250930	2025	Q3	20251112	814-01758	2025-11-12 16:09:00.0	0	1	ck0002020354-20250930_htm.xml			https://www.sec.gov/ix?doc=/Archives/edgar/data/2020354/000119312525277562/ck0002020354-20250930.htm
0002049733-25-000049	2049733	BLACKSTONE PRIVATE REAL ESTATE CREDIT & INCOME FUND	US	NY	NEW YORK	10154	345 PARK AVENUE		000-000-0000	US	NY	NEW YORK	10154	345 PARK AVENUE		US	DE	000000000	BLACKSTONE PRIVATE REAL ESTATE CREDIT FUND	20241223	4-NON	0	1231	10-Q	20250930	2025	Q3	20251112	814-01853	2025-11-12 17:26:00.0	0	1	brec-20250930_htm.xml			https://www.sec.gov/ix?doc=/Archives/edgar/data/2049733/000204973325000049/brec-20250930.htm
0001811972-25-000032	1811972	BARINGS CAPITAL INVESTMENT CORP	US	NC	CHARLOTTE	28202	300 SOUTH TRYON STREET	SUITE 2500	(704) 805-7200	US	NC	CHARLOTTE	28202	300 SOUTH TRYON STREET	SUITE 2500	US	MD	000000000			4-NON	0	1231	10-Q	20250930	2025	Q3	20251106	814-01348	2025-11-06 16:22:00.0	0	1	bdc-20250930_htm.xml			https://www.sec.gov/ix?doc=/Archives/edgar/data/1811972/000181197225000032/bdc-20250930.htm
