adsh	grp	arc	negative	ptag	pversion	ctag	cversion
0000930413-25-003431	7	3	1	InterestAndDebtExpense	us-gaap/2025	AmortizationOfFinancingCostsAndDiscounts	us-gaap/2025
0000930413-25-003431	7	2	1	InterestAndDebtExpense	us-gaap/2025	DebtInstrumentUnusedBorrowingCapacityFee	us-gaap/2025
0000930413-25-003431	7	1	1	InterestAndDebtExpense	us-gaap/2025	InterestExpenseShortTermBorrowings	us-gaap/2025
0000930413-25-003431	6	3	1	IncomeLossFromContinuingOperations	us-gaap/2025	UnrealizedGainLossOnInvestments	us-gaap/2025
0000930413-25-003431	6	2	1	IncomeLossFromContinuingOperations	us-gaap/2025	RealizedGainLossInvestmentAndDerivativeOperatingAfterTax	us-gaap/2025
0000930413-25-003431	5	30	-1	NetCashProvidedByUsedInFinancingActivities	us-gaap/2025	PaymentsOfFinancingCosts	us-gaap/2025
0000930413-25-003431	5	29	-1	NetCashProvidedByUsedInFinancingActivities	us-gaap/2025	PaymentsOfDistributionsToAffiliates	us-gaap/2025
0000930413-25-003431	5	28	-1	NetCashProvidedByUsedInFinancingActivities	us-gaap/2025	RepaymentsOfLongTermCapitalLeaseObligations	us-gaap/2025
0000930413-25-003432	4	8	1	CostsAndExpenses	us-gaap/2025	IncentiveFeeExpense	us-gaap/2025
0000930413-25-003432	4	10	1	CostsAndExpenses	us-gaap/2025	ProfessionalFees	us-gaap/2025
0000930413-25-003432	5	12	1	NetCashProvidedByUsedInOperatingActivities	us-gaap/2025	IncreaseDecreaseInDividendsReceivable	us-gaap/2025
0000930413-25-003432	5	14	1	NetCashProvidedByUsedInOperatingActivities	us-gaap/2025	IncreaseDecreaseInFinanceReceivables	us-gaap/2025
0000930413-25-003431	5	27	-1	NetCashProvidedByUsedInFinancingActivities	us-gaap/2025	RepaymentsOfLongTermDebt	us-gaap/2025
0000930413-25-003431	5	26	1	NetCashProvidedByUsedInFinancingActivities	us-gaap/2025	ProceedsFromContributedCapital	us-gaap/2025
0000930413-25-003431	5	24	1	CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffectContinuingOperations	us-gaap/2025	NetCashProvidedByUsedInFinancingActivities	us-gaap/2025
0000930413-25-003431	5	23	-1	NetCashProvidedByUsedInOperatingActivities	us-gaap/2025	IncreaseDecreaseInFinanceReceivables	us-gaap/2025
0000930413-25-003431	5	22	-1	NetCashProvidedByUsedInOperatingActivities	us-gaap/2025	IncreaseDecreaseInDueFromAdviser	0000930413-25-003431
0000930413-25-003431	5	21	-1	NetCashProvidedByUsedInOperatingActivities	us-gaap/2025	IncreaseDecreaseInDividendsReceivable	us-gaap/2025
0000930413-25-003431	5	20	-1	NetCashProvidedByUsedInOperatingActivities	us-gaap/2025	IncreaseDecreaseInReceivables	us-gaap/2025
0000930413-25-003431	5	19	-1	NetCashProvidedByUsedInOperatingActivities	us-gaap/2025	DepreciationAmortizationAndAccretionNet	us-gaap/2025
0000930413-25-003431	5	18	-1	NetCashProvidedByUsedInOperatingActivities	us-gaap/2025	PaymentsForPurchaseOfSecuritiesOperatingActivities	us-gaap/2025
0000930413-25-003431	5	17	-1	NetCashProvidedByUsedInOperatingActivities	us-gaap/2025	UnrealizedGainLossOnInvestments	us-gaap/2025
0000930413-25-003431	5	16	-1	NetCashProvidedByUsedInOperatingActivities	us-gaap/2025	RealizedInvestmentGainsLosses	us-gaap/2025
0000930413-25-003431	5	15	1	NetCashProvidedByUsedInOperatingActivities	us-gaap/2025	IncreaseDecreaseInAccountsPayableAndAccruedLiabilities	us-gaap/2025
0000930413-25-003431	5	14	1	NetCashProvidedByUsedInOperatingActivities	us-gaap/2025	IncreaseDecreaseInIncentiveFeePayable	us-gaap/2025
0000930413-25-003431	5	13	1	NetCashProvidedByUsedInOperatingActivities	us-gaap/2025	IncreaseDecreaseInAccruedLiabilities	us-gaap/2025
0000930413-25-003431	5	12	1	NetCashProvidedByUsedInOperatingActivities	us-gaap/2025	IncreaseDecreaseInAdministrativeFeePayable	us-gaap/2025
0000930413-25-003431	5	11	1	NetCashProvidedByUsedInOperatingActivities	us-gaap/2025	IncreaseDecreaseInManagementFeePayable	us-gaap/2025
0000930413-25-003431	5	10	1	NetCashProvidedByUsedInOperatingActivities	us-gaap/2025	IncreaseDecreaseInProfessionalFeePayable	us-gaap/2025
0000930413-25-003431	5	9	1	NetCashProvidedByUsedInOperatingActivities	us-gaap/2025	IncreaseDecreaseInAccruedIncomeTaxesPayable	us-gaap/2025
0000930413-25-003431	5	8	1	NetCashProvidedByUsedInOperatingActivities	us-gaap/2025	IncreaseDecreaseInInterestPayableNet	us-gaap/2025
0000930413-25-003431	5	7	1	NetCashProvidedByUsedInOperatingActivities	us-gaap/2025	IncreaseDecreaseInOtherOperatingAssets	us-gaap/2025
0000930413-25-003431	5	6	1	NetCashProvidedByUsedInOperatingActivities	us-gaap/2025	IncreaseDecreaseInOperatingCapital	us-gaap/2025
0000930413-25-003431	5	5	1	NetCashProvidedByUsedInOperatingActivities	us-gaap/2025	OtherAmortizationOfDeferredCharges	us-gaap/2025
0000930413-25-003431	5	4	1	NetCashProvidedByUsedInOperatingActivities	us-gaap/2025	AmortizationOfFinancingCosts	us-gaap/2025
0000930413-25-003431	5	3	1	NetCashProvidedByUsedInOperatingActivities	us-gaap/2025	ProceedsFromRepaymentsOfDebt	us-gaap/2025
0000930413-25-003431	5	2	1	NetCashProvidedByUsedInOperatingActivities	us-gaap/2025	IncomeLossFromContinuingOperations	us-gaap/2025
0000930413-25-003431	5	1	1	CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffectContinuingOperations	us-gaap/2025	NetCashProvidedByUsedInOperatingActivities	us-gaap/2025
0000930413-25-003431	4	8	1	NetRealizedAndChangeInUnrealizedGainloss	0000930413-25-003431	UnrealizedGainLossOnInvestments	us-gaap/2025
0000930413-25-003431	4	7	1	CostsAndExpenses	us-gaap/2025	AdministrativeFeesExpense	us-gaap/2025
0000930413-25-003431	4	6	1	CostsAndExpenses	us-gaap/2025	ProfessionalFees	us-gaap/2025
0000930413-25-003431	4	5	1	CostsAndExpenses	us-gaap/2025	InterestExpense	us-gaap/2025
0000930413-25-003431	4	4	1	IncomeLossFromEquityMethodInvestments	us-gaap/2025	InterestIncomeOperating	us-gaap/2025
0000930413-25-003431	4	3	-1	UnrealizedGainLossOnInvestments	us-gaap/2025	NetIncomeLossAttributableToNoncontrollingInterest	us-gaap/2025
0000930413-25-003431	4	2	1	IncreaseDecreaseInOperatingCapital	us-gaap/2025	UnrealizedGainLossOnInvestments	us-gaap/2025
0000930413-25-003431	4	1	1	IncreaseDecreaseInOperatingCapital	us-gaap/2025	NetInvestmentIncome	us-gaap/2025
0000930413-25-003431	5	25	1	NetCashProvidedByUsedInFinancingActivities	us-gaap/2025	ProceedsFromIssuanceOfLongTermDebt	us-gaap/2025
0000930413-25-003431	6	1	1	IncomeLossFromContinuingOperations	us-gaap/2025	InvestmentIncomeOperatingAfterExpenseAndTax	us-gaap/2025
0000930413-25-003432	2	3	1	IncomeLossFromEquityMethodInvestments	us-gaap/2025	InterestIncomeOperating	us-gaap/2025
0000930413-25-003432	2	4	1	IncomeLossFromEquityMethodInvestments	us-gaap/2025	FeeIncome	us-gaap/2025
0000930413-25-003432	2	6	1	CostsAndExpenses	us-gaap/2025	InterestExpense	us-gaap/2025
0000930413-25-003432	3	1	1	AssetsCurrent	us-gaap/2025	InvestmentOwnedAtFairValue	us-gaap/2025
0000930413-25-003432	3	4	1	AssetsCurrent	us-gaap/2025	DividendsReceivable	us-gaap/2025
0000930413-25-003432	3	5	1	AssetsCurrent	us-gaap/2025	DueFromCorrespondentBrokers	us-gaap/2025
0000930413-25-003432	3	9	1	Liabilities	us-gaap/2025	SecuredDebt	us-gaap/2025
0000930413-25-003432	3	10	1	Liabilities	us-gaap/2025	DistributionPayable	us-gaap/2025
0000930413-25-003432	3	11	1	Liabilities	us-gaap/2025	InterestPayableCurrent	us-gaap/2025
0000930413-25-003432	3	14	1	Liabilities	us-gaap/2025	ManagementFeePayable	us-gaap/2025
0000930413-25-003432	3	16	1	Liabilities	us-gaap/2025	DueToCorrespondentBrokers	us-gaap/2025
0000930413-25-003432	3	20	1	TotalLiabilitiesAndNetAssets	0000930413-25-003432	AssetsNet	us-gaap/2025
0000930413-25-003432	4	3	1	GrossInvestmentIncomeOperating	us-gaap/2025	InterestIncomeOperating	us-gaap/2025
0000930413-25-003432	4	4	1	GrossInvestmentIncomeOperating	us-gaap/2025	FeeIncome	us-gaap/2025
0000930413-25-003432	4	5	1	GrossInvestmentIncomeOperating	us-gaap/2025	DividendIncomeOperating	us-gaap/2025
0000930413-25-003432	4	6	1	CostsAndExpenses	us-gaap/2025	InterestExpense	us-gaap/2025
0000930413-25-003432	4	7	1	CostsAndExpenses	us-gaap/2025	OperatingExpenses	us-gaap/2025
0000930413-25-003432	4	9	1	CostsAndExpenses	us-gaap/2025	ManagementFeeExpense	us-gaap/2025
0000930413-25-003432	4	11	1	CostsAndExpenses	us-gaap/2025	AdministrativeFeesExpense	us-gaap/2025
0000930413-25-003432	4	12	1	CostsAndExpenses	us-gaap/2025	OtherGeneralAndAdministrativeExpense	us-gaap/2025
0000930413-25-003432	4	13	-1	CostsAndExpenses	us-gaap/2025	NonoperatingIncomeExpense	us-gaap/2025
0000930413-25-003432	4	14	-1	CostsAndExpenses	us-gaap/2025	DistributionAndShareholderServicingFeePayable	0000930413-25-003432
0000930413-25-003432	4	15	1	OtherComprehensiveIncomeUnrealizedHoldingGainLossOnSecuritiesArisingDuringPeriodNetOfTax	us-gaap/2025	UnrealizedGainLossOnInvestments	us-gaap/2025
0000930413-25-003432	5	1	1	CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffectContinuingOperations	us-gaap/2025	NetCashProvidedByUsedInFinancingActivities	us-gaap/2025
0000930413-25-003432	5	2	1	NetCashProvidedByUsedInFinancingActivities	us-gaap/2025	ProceedsFromIssuanceOfLongTermDebt	us-gaap/2025
0000930413-25-003432	5	3	1	NetCashProvidedByUsedInFinancingActivities	us-gaap/2025	ProceedsFromContributedCapital	us-gaap/2025
0000930413-25-003432	5	4	-1	NetCashProvidedByUsedInFinancingActivities	us-gaap/2025	RepaymentsOfLongTermDebt	us-gaap/2025
0000930413-25-003432	5	5	-1	NetCashProvidedByUsedInFinancingActivities	us-gaap/2025	PaymentsOfDistributionsToAffiliates	us-gaap/2025
0000930413-25-003432	5	6	-1	NetCashProvidedByUsedInFinancingActivities	us-gaap/2025	PaymentsOfFinancingCosts	us-gaap/2025
0000930413-25-003432	5	7	-1	CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffectContinuingOperations	us-gaap/2025	NetCashProvidedByUsedInOperatingActivities	us-gaap/2025
0000930413-25-003432	5	8	1	NetCashProvidedByUsedInOperatingActivities	us-gaap/2025	UnrealizedGainLossOnInvestments	us-gaap/2025
0000930413-25-003432	5	9	1	NetCashProvidedByUsedInOperatingActivities	us-gaap/2025	PaymentsForPurchaseOfSecuritiesOperatingActivities	us-gaap/2025
0000930413-25-003432	5	10	1	NetCashProvidedByUsedInOperatingActivities	us-gaap/2025	DepreciationAmortizationAndAccretionNet	us-gaap/2025
0000930413-25-003432	5	11	1	NetCashProvidedByUsedInOperatingActivities	us-gaap/2025	IncreaseDecreaseInReceivables	us-gaap/2025
0000930413-25-003432	5	13	1	NetCashProvidedByUsedInOperatingActivities	us-gaap/2025	IncreaseDecreaseInDueFromAdviser	0000930413-25-003432
0000930413-25-003432	5	15	-1	NetCashProvidedByUsedInOperatingActivities	us-gaap/2025	IncomeLossFromContinuingOperations	us-gaap/2025
0000930413-25-003432	5	16	-1	NetCashProvidedByUsedInOperatingActivities	us-gaap/2025	ProceedsFromRepaymentsOfDebt	us-gaap/2025
0000930413-25-003432	5	17	-1	NetCashProvidedByUsedInOperatingActivities	us-gaap/2025	AmortizationOfFinancingCosts	us-gaap/2025
0000930413-25-003432	5	18	-1	NetCashProvidedByUsedInOperatingActivities	us-gaap/2025	IncreaseDecreaseInOtherOperatingAssets	us-gaap/2025
0000930413-25-003432	5	19	-1	NetCashProvidedByUsedInOperatingActivities	us-gaap/2025	IncreaseDecreaseInInterestPayableNet	us-gaap/2025
0000930413-25-003432	5	20	-1	NetCashProvidedByUsedInOperatingActivities	us-gaap/2025	IncreaseDecreaseInAccruedIncomeTaxesPayable	us-gaap/2025
0000930413-25-003432	5	21	-1	NetCashProvidedByUsedInOperatingActivities	us-gaap/2025	IncreaseDecreaseInIncentiveFeePayable	us-gaap/2025
0000930413-25-003432	5	22	-1	NetCashProvidedByUsedInOperatingActivities	us-gaap/2025	IncreaseDecreaseInManagementFeePayable	us-gaap/2025
0000930413-25-003432	5	23	-1	NetCashProvidedByUsedInOperatingActivities	us-gaap/2025	IncreaseDecreaseInProfessionalFeePayable	us-gaap/2025
0000930413-25-003432	5	24	-1	NetCashProvidedByUsedInOperatingActivities	us-gaap/2025	IncreaseDecreaseInAdministrativeFeePayable	us-gaap/2025
0000930413-25-003432	5	25	-1	NetCashProvidedByUsedInOperatingActivities	us-gaap/2025	IncreaseDecreaseInAccountsPayableAndAccruedLiabilities	us-gaap/2025
0000930413-25-003432	5	26	-1	NetCashProvidedByUsedInOperatingActivities	us-gaap/2025	IncreaseDecreaseInAccruedLiabilities	us-gaap/2025
0000930413-25-003432	6	1	1	IncomeLossFromContinuingOperations	us-gaap/2025	NetInvestmentIncome	us-gaap/2025
0000930413-25-003432	6	2	1	IncomeLossFromContinuingOperations	us-gaap/2025	UnrealizedGainLossOnInvestments	us-gaap/2025
0001104659-25-108430	1	1	1	NetIncomeLoss	us-gaap/2025	DebtAndEquitySecuritiesGainLoss	us-gaap/2025
0001104659-25-108430	1	2	1	DebtAndEquitySecuritiesGainLoss	us-gaap/2025	DebtAndEquitySecuritiesUnrealizedGainLoss	us-gaap/2025
0001104659-25-108430	1	3	1	NetIncomeLoss	us-gaap/2025	InvestmentIncomeOperatingAfterExpenseAndTax	us-gaap/2025
0001104659-25-108430	1	4	-1	InvestmentIncomeOperatingAfterExpenseAndTax	us-gaap/2025	InvestmentIncomeOperatingTaxExpenseBenefit	us-gaap/2025
0001104659-25-108430	1	5	1	InvestmentIncomeOperatingAfterExpenseAndTax	us-gaap/2025	NetInvestmentIncome	us-gaap/2025
0001104659-25-108430	1	6	-1	NetInvestmentIncome	us-gaap/2025	InvestmentIncomeInvestmentExpense	us-gaap/2025
0001104659-25-108430	1	7	1	InvestmentIncomeInvestmentExpense	us-gaap/2025	InterestExpense	us-gaap/2025
0001104659-25-108430	1	8	1	InvestmentIncomeInvestmentExpense	us-gaap/2025	ManagementFeeExpense	us-gaap/2025
0001104659-25-108430	1	9	1	InvestmentIncomeInvestmentExpense	us-gaap/2025	OtherGeneralAndAdministrativeExpense	us-gaap/2025
0001104659-25-108430	1	11	1	InvestmentIncomeInvestmentExpense	us-gaap/2025	ProfessionalFees	us-gaap/2025
0001104659-25-108430	1	13	1	InvestmentIncomeInvestmentExpense	us-gaap/2025	AdministrativeFeesExpense	us-gaap/2025
0001104659-25-108430	1	14	1	InvestmentIncomeInvestmentExpense	us-gaap/2025	NoninterestExpenseDirectorsFees	us-gaap/2025
0001104659-25-108430	1	15	1	InvestmentIncomeInvestmentExpense	us-gaap/2025	CustodyFees	us-gaap/2025
0001104659-25-108430	1	18	1	GrossInvestmentIncomeOperating	us-gaap/2025	DividendIncomeOperating	us-gaap/2025
0001104659-25-108430	1	19	1	GrossInvestmentIncomeOperating	us-gaap/2025	OtherIncome	us-gaap/2025
0001104659-25-108430	1	20	1	GrossInvestmentIncomeOperating	us-gaap/2025	InterestIncomeOperating	us-gaap/2025
0001104659-25-108430	2	2	1	InvestmentCompanyDividendDistribution	us-gaap/2025	InvestmentCompanyDistributionOrdinaryIncome	us-gaap/2025
0001104659-25-108430	3	1	-1	InvestmentCompanyDistributableEarningsLossAccumulatedCapitalLossCarryforward	us-gaap/2025	InvestmentCompanyDistributableEarningsLossAccumulatedOrdinaryIncomeLoss	us-gaap/2025
0001104659-25-108430	3	2	-1	InvestmentCompanyDistributableEarningsLossAccumulatedCapitalLossCarryforward	us-gaap/2025	InvestmentCompanyDistributableEarningsLossAccumulatedAppreciationDepreciation	us-gaap/2025
0001104659-25-108430	5	1	1	InvestmentCompanyTaxableIncomeLoss	0001104659-25-108430	NetIncomeLoss	us-gaap/2025
0001104659-25-108430	6	1	1	CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect	us-gaap/2025	NetCashProvidedByUsedInOperatingActivities	us-gaap/2025
0001104659-25-108430	6	2	1	NetCashProvidedByUsedInOperatingActivities	us-gaap/2025	NetIncomeLoss	us-gaap/2025
0001104659-25-108430	6	3	-1	NetCashProvidedByUsedInOperatingActivities	us-gaap/2025	PaymentsForPurchaseOfInvestmentOperatingActivity	us-gaap/2025
0001104659-25-108430	6	4	1	NetCashProvidedByUsedInOperatingActivities	us-gaap/2025	ProceedsFromDispositionOfInvestmentOperatingActivity	us-gaap/2025
0001104659-25-108430	6	6	-1	NetCashProvidedByUsedInOperatingActivities	us-gaap/2025	InterestIncomeOperatingPaidInKind	us-gaap/2025
0001104659-25-108430	6	7	-1	NetCashProvidedByUsedInOperatingActivities	us-gaap/2025	DebtAndEquitySecuritiesUnrealizedGainLoss	us-gaap/2025
0001104659-25-108430	6	8	1	NetCashProvidedByUsedInOperatingActivities	us-gaap/2025	AmortizationOfFinancingCosts	us-gaap/2025
0001104659-25-108430	6	9	-1	NetCashProvidedByUsedInOperatingActivities	us-gaap/2025	IncreaseDecreaseInAccruedInterestReceivableNet	us-gaap/2025
0001104659-25-108430	6	10	1	NetCashProvidedByUsedInOperatingActivities	us-gaap/2025	IncreaseDecreaseInDueToAffiliates	us-gaap/2025
0001104659-25-108430	6	11	1	NetCashProvidedByUsedInOperatingActivities	us-gaap/2025	IncreaseDecreaseInInterestPayableNet	us-gaap/2025
0001104659-25-108430	6	13	1	NetCashProvidedByUsedInOperatingActivities	us-gaap/2025	IncreaseDecreaseInManagementFeePayable	us-gaap/2025
0001104659-25-108430	6	15	1	NetCashProvidedByUsedInOperatingActivities	us-gaap/2025	IncreaseDecreaseInAccountsPayableAndAccruedLiabilities	us-gaap/2025
0001104659-25-108430	6	16	1	CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect	us-gaap/2025	NetCashProvidedByUsedInFinancingActivities	us-gaap/2025
0001104659-25-108430	6	17	1	NetCashProvidedByUsedInFinancingActivities	us-gaap/2025	ProceedsFromIssuanceOfCommonStock	us-gaap/2025
0001104659-25-108430	6	18	-1	NetCashProvidedByUsedInFinancingActivities	us-gaap/2025	PaymentsOfDividends	us-gaap/2025
0001104659-25-108430	6	19	1	NetCashProvidedByUsedInFinancingActivities	us-gaap/2025	ProceedsFromLongTermLinesOfCredit	us-gaap/2025
0001104659-25-108430	6	20	-1	NetCashProvidedByUsedInFinancingActivities	us-gaap/2025	RepaymentsOfLinesOfCredit	us-gaap/2025
0001104659-25-108430	6	21	-1	NetCashProvidedByUsedInFinancingActivities	us-gaap/2025	PaymentsOfDebtIssuanceCosts	us-gaap/2025
0001104659-25-108430	7	1	1	InvestmentsAndCashEquivalentsFairValueDisclosure	0001104659-25-108430	InvestmentsFairValueDisclosure	us-gaap/2025
0001104659-25-108430	7	2	1	InvestmentsAndCashEquivalentsFairValueDisclosure	0001104659-25-108430	CashAndCashEquivalentsFairValueDisclosure	us-gaap/2025
0001104659-25-108430	8	1	1	Assets	us-gaap/2025	CashAndCashEquivalentsAtCarryingValue	us-gaap/2025
0001104659-25-108430	8	2	1	Assets	us-gaap/2025	InterestReceivable	us-gaap/2025
0001104659-25-108430	8	3	1	Assets	us-gaap/2025	InvestmentOwnedAtFairValue	us-gaap/2025
0001104659-25-108430	8	5	1	LiabilitiesAndStockholdersEquity	us-gaap/2025	Liabilities	us-gaap/2025
0001104659-25-108430	8	7	1	Liabilities	us-gaap/2025	InterestPayableCurrentAndNoncurrent	us-gaap/2025
0001104659-25-108430	8	8	1	Liabilities	us-gaap/2025	OtherLiabilities	us-gaap/2025
0001104659-25-108430	8	9	1	Liabilities	us-gaap/2025	ManagementFeePayable	us-gaap/2025
0001104659-25-108430	8	10	1	Liabilities	us-gaap/2025	DistributionPayable	us-gaap/2025
0001104659-25-108430	8	13	1	LiabilitiesAndStockholdersEquity	us-gaap/2025	StockholdersEquity	us-gaap/2025
0001104659-25-108430	8	14	1	StockholdersEquity	us-gaap/2025	CommonStockValue	us-gaap/2025
0001104659-25-108430	8	15	1	StockholdersEquity	us-gaap/2025	AdditionalPaidInCapital	us-gaap/2025
0001104659-25-108430	8	16	1	StockholdersEquity	us-gaap/2025	RetainedEarningsAccumulatedDeficit	us-gaap/2025
0001104659-25-108430	9	1	1	StockholdersEquityPeriodIncreaseDecrease	us-gaap/2025	NetIncomeLoss	us-gaap/2025
0001104659-25-108430	9	2	1	NetIncomeLoss	us-gaap/2025	UnrealizedGainLossInvestmentAndDerivativeOperatingAfterTax	us-gaap/2025
0001104659-25-108430	9	3	1	NetIncomeLoss	us-gaap/2025	InvestmentIncomeOperatingAfterExpenseAndTax	us-gaap/2025
0001104659-25-108430	9	4	1	StockholdersEquityPeriodIncreaseDecrease	us-gaap/2025	InvestmentCompanyIncreaseDecreaseFromShareTransaction	us-gaap/2025
0001104659-25-108430	9	5	1	InvestmentCompanyIncreaseDecreaseFromShareTransaction	us-gaap/2025	StockIssuedDuringPeriodValueNewIssues	us-gaap/2025
0001104659-25-108430	9	8	-1	NetIncreaseDecreaseInNetAssetsFromShareholderDistribution	0001104659-25-108430	InvestmentCompanyDividendDistribution	us-gaap/2025
0001104659-25-108430	1	10	1	InvestmentIncomeInvestmentExpense	us-gaap/2025	InvestmentCompanyAmortizationOfFinancingCosts	0001104659-25-108430
0001104659-25-108430	1	12	1	InvestmentIncomeInvestmentExpense	us-gaap/2025	OverheadExpenses	0001104659-25-108430
0001104659-25-108430	1	16	1	InvestmentIncomeInvestmentExpense	us-gaap/2025	FacilityExpenses	0001104659-25-108430
0001104659-25-108430	1	17	1	NetInvestmentIncome	us-gaap/2025	GrossInvestmentIncomeOperating	us-gaap/2025
0001104659-25-108430	2	1	1	InvestmentCompanyDividendDistribution	us-gaap/2025	InvestmentCompanyDistributionDeferredIncome	0001104659-25-108430
0001104659-25-108430	4	1	1	TaxBasisOfInvestmentsUnrealizedAppreciationDepreciationNet	us-gaap/2025	TaxBasisOfInvestmentsGrossUnrealizedAppreciation	us-gaap/2025
0001104659-25-108430	4	2	-1	TaxBasisOfInvestmentsUnrealizedAppreciationDepreciationNet	us-gaap/2025	TaxBasisOfInvestmentsGrossUnrealizedDepreciation	us-gaap/2025
0001104659-25-108430	5	2	1	InvestmentCompanyTaxableIncomeLoss	0001104659-25-108430	InvestmentCompanyNetChangeInUnrealizedAppreciationDepreciationOnInvestments	0001104659-25-108430
0001104659-25-108430	5	3	1	InvestmentCompanyTaxableIncomeLoss	0001104659-25-108430	InvestmentCompanyTemporaryBookIncomeAndTaxIncomeDifferences	0001104659-25-108430
0001104659-25-108430	6	5	-1	NetCashProvidedByUsedInOperatingActivities	us-gaap/2025	AmortizationOfPremiumAndAccretionOfDiscountNet	0001104659-25-108430
0001104659-25-108430	6	12	1	NetCashProvidedByUsedInOperatingActivities	us-gaap/2025	IncreaseDecreaseInPayableForLineOfCredit	0001104659-25-108430
0001104659-25-108430	6	14	1	NetCashProvidedByUsedInOperatingActivities	us-gaap/2025	IncreaseDecreaseInDirectorsFeesPayable	0001104659-25-108430
0001104659-25-108430	8	4	1	Assets	us-gaap/2025	DeferredFinanceCostsNet	us-gaap/2025
0001104659-25-108430	8	6	1	Liabilities	us-gaap/2025	LineOfCredit	us-gaap/2025
0001104659-25-108430	8	11	1	Liabilities	us-gaap/2025	DirectorsFeesPayable	0001104659-25-108430
0001104659-25-108430	8	12	1	Liabilities	us-gaap/2025	AccountsPayableAndAccruedLiabilitiesCurrentAndNoncurrent	us-gaap/2025
0001104659-25-108430	9	6	1	InvestmentCompanyIncreaseDecreaseFromShareTransaction	us-gaap/2025	StockIssuedDuringPeriodValueDividendReinvestmentPlan	us-gaap/2025
0001104659-25-108820	2	28	-1	NetCashProvidedByUsedInOperatingActivities	us-gaap/2024	NetUnrealizedAppreciationDepreciationOnTranslationOfAssetsAndLiabilitiesInForeignCurrencies	0001104659-25-108820
