adsh	cik	name	form	filed	period	ddate	tag	version	label	segments	value	indexurl
0000017313-25-000145	17313	CAPITAL SOUTHWEST CORP	8-K	20251103	20251031	20251031	EntityRegistrantName	dei/2025	Entity Registrant Name		CAPITAL SOUTHWEST CORPORATION	https://www.sec.gov/Archives/edgar/data/17313/000001731325000145/0000017313-25-000145/-index.htm
0000017313-25-000145	17313	CAPITAL SOUTHWEST CORP	8-K	20251103	20251031	20251031	EntityTaxIdentificationNumber	dei/2025	Entity Tax Identification Number		75-1072796	https://www.sec.gov/Archives/edgar/data/17313/000001731325000145/0000017313-25-000145/-index.htm
0000017313-25-000145	17313	CAPITAL SOUTHWEST CORP	8-K	20251103	20251031	20251031	LocalPhoneNumber	dei/2025	Local Phone Number		238-5700	https://www.sec.gov/Archives/edgar/data/17313/000001731325000145/0000017313-25-000145/-index.htm
0000017313-25-000145	17313	CAPITAL SOUTHWEST CORP	8-K	20251103	20251031	20251031	PreCommencementIssuerTenderOffer	dei/2025	Pre-commencement Issuer Tender Offer		false	https://www.sec.gov/Archives/edgar/data/17313/000001731325000145/0000017313-25-000145/-index.htm
0000017313-25-000145	17313	CAPITAL SOUTHWEST CORP	8-K	20251103	20251031	20251031	PreCommencementTenderOffer	dei/2025	Pre-commencement Tender Offer		false	https://www.sec.gov/Archives/edgar/data/17313/000001731325000145/0000017313-25-000145/-index.htm
0000017313-25-000145	17313	CAPITAL SOUTHWEST CORP	8-K	20251103	20251031	20251031	Security12bTitle	dei/2025	Title of 12(b) Security		Common Stock, $0.25 par value per share	https://www.sec.gov/Archives/edgar/data/17313/000001731325000145/0000017313-25-000145/-index.htm
0000017313-25-000145	17313	CAPITAL SOUTHWEST CORP	8-K	20251103	20251031	20251031	SecurityExchangeName	dei/2025	Security Exchange Name		NASDAQ	https://www.sec.gov/Archives/edgar/data/17313/000001731325000145/0000017313-25-000145/-index.htm
0000017313-25-000145	17313	CAPITAL SOUTHWEST CORP	8-K	20251103	20251031	20251031	SolicitingMaterial	dei/2025	Soliciting Material		false	https://www.sec.gov/Archives/edgar/data/17313/000001731325000145/0000017313-25-000145/-index.htm
0000017313-25-000145	17313	CAPITAL SOUTHWEST CORP	8-K	20251103	20251031	20251031	TradingSymbol	dei/2025	Trading Symbol		CSWC	https://www.sec.gov/Archives/edgar/data/17313/000001731325000145/0000017313-25-000145/-index.htm
0000017313-25-000145	17313	CAPITAL SOUTHWEST CORP	8-K	20251103	20251031	20251031	WrittenCommunications	dei/2025	Written Communications		false	https://www.sec.gov/Archives/edgar/data/17313/000001731325000145/0000017313-25-000145/-index.htm
0000017313-25-000151	17313	CAPITAL SOUTHWEST CORP	8-K	20251119	20251130	20251130	AmendmentFlag	dei/2025	Amendment Flag		false	https://www.sec.gov/Archives/edgar/data/17313/000001731325000151/0000017313-25-000151/-index.htm
0000017313-25-000151	17313	CAPITAL SOUTHWEST CORP	8-K	20251119	20251130	20251130	CityAreaCode	dei/2025	City Area Code		214	https://www.sec.gov/Archives/edgar/data/17313/000001731325000151/0000017313-25-000151/-index.htm
0000017313-25-000151	17313	CAPITAL SOUTHWEST CORP	8-K	20251119	20251130	20251130	DocumentPeriodEndDate	dei/2025	Document Period End Date		2025-11-19	https://www.sec.gov/Archives/edgar/data/17313/000001731325000151/0000017313-25-000151/-index.htm
0000017313-25-000151	17313	CAPITAL SOUTHWEST CORP	8-K	20251119	20251130	20251130	DocumentType	dei/2025	Document Type		8-K	https://www.sec.gov/Archives/edgar/data/17313/000001731325000151/0000017313-25-000151/-index.htm
0000017313-25-000151	17313	CAPITAL SOUTHWEST CORP	8-K	20251119	20251130	20251130	EntityAddressAddressLine1	dei/2025	Entity Address, Address Line One		8333 Douglas Avenue	https://www.sec.gov/Archives/edgar/data/17313/000001731325000151/0000017313-25-000151/-index.htm
0000017313-25-000151	17313	CAPITAL SOUTHWEST CORP	8-K	20251119	20251130	20251130	EntityAddressAddressLine2	dei/2025	Entity Address, Address Line Two		Suite 1100	https://www.sec.gov/Archives/edgar/data/17313/000001731325000151/0000017313-25-000151/-index.htm
0000017313-25-000151	17313	CAPITAL SOUTHWEST CORP	8-K	20251119	20251130	20251130	EntityAddressCityOrTown	dei/2025	Entity Address, City or Town		Dallas	https://www.sec.gov/Archives/edgar/data/17313/000001731325000151/0000017313-25-000151/-index.htm
0000017313-25-000151	17313	CAPITAL SOUTHWEST CORP	8-K	20251119	20251130	20251130	EntityAddressPostalZipCode	dei/2025	Entity Address, Postal Zip Code		75225	https://www.sec.gov/Archives/edgar/data/17313/000001731325000151/0000017313-25-000151/-index.htm
0000017313-25-000151	17313	CAPITAL SOUTHWEST CORP	8-K	20251119	20251130	20251130	EntityAddressStateOrProvince	dei/2025	Entity Address, State or Province		TX	https://www.sec.gov/Archives/edgar/data/17313/000001731325000151/0000017313-25-000151/-index.htm
0000017313-25-000151	17313	CAPITAL SOUTHWEST CORP	8-K	20251119	20251130	20251130	EntityCentralIndexKey	dei/2025	Entity Central Index Key		0000017313	https://www.sec.gov/Archives/edgar/data/17313/000001731325000151/0000017313-25-000151/-index.htm
0000017313-25-000151	17313	CAPITAL SOUTHWEST CORP	8-K	20251119	20251130	20251130	EntityEmergingGrowthCompany	dei/2025	Entity Emerging Growth Company		false	https://www.sec.gov/Archives/edgar/data/17313/000001731325000151/0000017313-25-000151/-index.htm
0000017313-25-000151	17313	CAPITAL SOUTHWEST CORP	8-K	20251119	20251130	20251130	EntityFileNumber	dei/2025	Entity File Number		814-00061	https://www.sec.gov/Archives/edgar/data/17313/000001731325000151/0000017313-25-000151/-index.htm
0000017313-25-000151	17313	CAPITAL SOUTHWEST CORP	8-K	20251119	20251130	20251130	EntityIncorporationStateCountryCode	dei/2025	Entity Incorporation, State or Country Code		TX	https://www.sec.gov/Archives/edgar/data/17313/000001731325000151/0000017313-25-000151/-index.htm
0000017313-25-000151	17313	CAPITAL SOUTHWEST CORP	8-K	20251119	20251130	20251130	EntityRegistrantName	dei/2025	Entity Registrant Name		CAPITAL SOUTHWEST CORPORATION	https://www.sec.gov/Archives/edgar/data/17313/000001731325000151/0000017313-25-000151/-index.htm
0000017313-25-000151	17313	CAPITAL SOUTHWEST CORP	8-K	20251119	20251130	20251130	EntityTaxIdentificationNumber	dei/2025	Entity Tax Identification Number		75-1072796	https://www.sec.gov/Archives/edgar/data/17313/000001731325000151/0000017313-25-000151/-index.htm
0000017313-25-000151	17313	CAPITAL SOUTHWEST CORP	8-K	20251119	20251130	20251130	LocalPhoneNumber	dei/2025	Local Phone Number		238-5700	https://www.sec.gov/Archives/edgar/data/17313/000001731325000151/0000017313-25-000151/-index.htm
0000017313-25-000151	17313	CAPITAL SOUTHWEST CORP	8-K	20251119	20251130	20251130	PreCommencementIssuerTenderOffer	dei/2025	Pre-commencement Issuer Tender Offer		false	https://www.sec.gov/Archives/edgar/data/17313/000001731325000151/0000017313-25-000151/-index.htm
0000017313-25-000151	17313	CAPITAL SOUTHWEST CORP	8-K	20251119	20251130	20251130	PreCommencementTenderOffer	dei/2025	Pre-commencement Tender Offer		false	https://www.sec.gov/Archives/edgar/data/17313/000001731325000151/0000017313-25-000151/-index.htm
0000017313-25-000151	17313	CAPITAL SOUTHWEST CORP	8-K	20251119	20251130	20251130	Security12bTitle	dei/2025	Title of 12(b) Security		Common Stock, $0.25 par value per share	https://www.sec.gov/Archives/edgar/data/17313/000001731325000151/0000017313-25-000151/-index.htm
0000017313-25-000151	17313	CAPITAL SOUTHWEST CORP	8-K	20251119	20251130	20251130	SecurityExchangeName	dei/2025	Security Exchange Name		NASDAQ	https://www.sec.gov/Archives/edgar/data/17313/000001731325000151/0000017313-25-000151/-index.htm
0000017313-25-000151	17313	CAPITAL SOUTHWEST CORP	8-K	20251119	20251130	20251130	SolicitingMaterial	dei/2025	Soliciting Material		false	https://www.sec.gov/Archives/edgar/data/17313/000001731325000151/0000017313-25-000151/-index.htm
0000017313-25-000151	17313	CAPITAL SOUTHWEST CORP	8-K	20251119	20251130	20251130	TradingSymbol	dei/2025	Trading Symbol		CSWC	https://www.sec.gov/Archives/edgar/data/17313/000001731325000151/0000017313-25-000151/-index.htm
0000017313-25-000151	17313	CAPITAL SOUTHWEST CORP	8-K	20251119	20251130	20251130	WrittenCommunications	dei/2025	Written Communications		false	https://www.sec.gov/Archives/edgar/data/17313/000001731325000151/0000017313-25-000151/-index.htm
0000930413-25-003491	2008748	LORD ABBETT PRIVATE CREDIT FUND	8-K	20251121	20251130	20251130	AmendmentFlag	dei/2025	Amendment Flag		false	https://www.sec.gov/Archives/edgar/data/2008748/000093041325003491/0000930413-25-003491/-index.htm
0000930413-25-003491	2008748	LORD ABBETT PRIVATE CREDIT FUND	8-K	20251121	20251130	20251130	CityAreaCode	dei/2025	City Area Code		888	https://www.sec.gov/Archives/edgar/data/2008748/000093041325003491/0000930413-25-003491/-index.htm
0000930413-25-003491	2008748	LORD ABBETT PRIVATE CREDIT FUND	8-K	20251121	20251130	20251130	DocumentPeriodEndDate	dei/2025	Document Period End Date		2025-11-18	https://www.sec.gov/Archives/edgar/data/2008748/000093041325003491/0000930413-25-003491/-index.htm
0000930413-25-003491	2008748	LORD ABBETT PRIVATE CREDIT FUND	8-K	20251121	20251130	20251130	DocumentType	dei/2025	Document Type		8-K	https://www.sec.gov/Archives/edgar/data/2008748/000093041325003491/0000930413-25-003491/-index.htm
0000930413-25-003491	2008748	LORD ABBETT PRIVATE CREDIT FUND	8-K	20251121	20251130	20251130	EntityAddressAddressLine1	dei/2025	Entity Address, Address Line One		30 Hudson Street	https://www.sec.gov/Archives/edgar/data/2008748/000093041325003491/0000930413-25-003491/-index.htm
0000930413-25-003491	2008748	LORD ABBETT PRIVATE CREDIT FUND	8-K	20251121	20251130	20251130	EntityAddressCityOrTown	dei/2025	Entity Address, City or Town		Jersey City	https://www.sec.gov/Archives/edgar/data/2008748/000093041325003491/0000930413-25-003491/-index.htm
0000930413-25-003491	2008748	LORD ABBETT PRIVATE CREDIT FUND	8-K	20251121	20251130	20251130	EntityAddressPostalZipCode	dei/2025	Entity Address, Postal Zip Code		07302	https://www.sec.gov/Archives/edgar/data/2008748/000093041325003491/0000930413-25-003491/-index.htm
0000930413-25-003491	2008748	LORD ABBETT PRIVATE CREDIT FUND	8-K	20251121	20251130	20251130	EntityAddressStateOrProvince	dei/2025	Entity Address, State or Province		NJ	https://www.sec.gov/Archives/edgar/data/2008748/000093041325003491/0000930413-25-003491/-index.htm
0000930413-25-003491	2008748	LORD ABBETT PRIVATE CREDIT FUND	8-K	20251121	20251130	20251130	EntityCentralIndexKey	dei/2025	Entity Central Index Key		0002008748	https://www.sec.gov/Archives/edgar/data/2008748/000093041325003491/0000930413-25-003491/-index.htm
0000930413-25-003491	2008748	LORD ABBETT PRIVATE CREDIT FUND	8-K	20251121	20251130	20251130	EntityEmergingGrowthCompany	dei/2025	Entity Emerging Growth Company		true	https://www.sec.gov/Archives/edgar/data/2008748/000093041325003491/0000930413-25-003491/-index.htm
0000930413-25-003491	2008748	LORD ABBETT PRIVATE CREDIT FUND	8-K	20251121	20251130	20251130	EntityExTransitionPeriod	dei/2025	Elected Not To Use the Extended Transition Period		false	https://www.sec.gov/Archives/edgar/data/2008748/000093041325003491/0000930413-25-003491/-index.htm
0000930413-25-003491	2008748	LORD ABBETT PRIVATE CREDIT FUND	8-K	20251121	20251130	20251130	EntityFileNumber	dei/2025	Entity File Number		814-01764	https://www.sec.gov/Archives/edgar/data/2008748/000093041325003491/0000930413-25-003491/-index.htm
0000930413-25-003491	2008748	LORD ABBETT PRIVATE CREDIT FUND	8-K	20251121	20251130	20251130	EntityIncorporationStateCountryCode	dei/2025	Entity Incorporation, State or Country Code		DE	https://www.sec.gov/Archives/edgar/data/2008748/000093041325003491/0000930413-25-003491/-index.htm
0000930413-25-003491	2008748	LORD ABBETT PRIVATE CREDIT FUND	8-K	20251121	20251130	20251130	EntityRegistrantName	dei/2025	Entity Registrant Name		Lord Abbett Private Credit Fund	https://www.sec.gov/Archives/edgar/data/2008748/000093041325003491/0000930413-25-003491/-index.htm
0000930413-25-003491	2008748	LORD ABBETT PRIVATE CREDIT FUND	8-K	20251121	20251130	20251130	EntityTaxIdentificationNumber	dei/2025	Entity Tax Identification Number		93-4670837	https://www.sec.gov/Archives/edgar/data/2008748/000093041325003491/0000930413-25-003491/-index.htm
0000930413-25-003491	2008748	LORD ABBETT PRIVATE CREDIT FUND	8-K	20251121	20251130	20251130	LocalPhoneNumber	dei/2025	Local Phone Number		522-2388	https://www.sec.gov/Archives/edgar/data/2008748/000093041325003491/0000930413-25-003491/-index.htm
0000930413-25-003491	2008748	LORD ABBETT PRIVATE CREDIT FUND	8-K	20251121	20251130	20251130	PreCommencementIssuerTenderOffer	dei/2025	Pre-commencement Issuer Tender Offer		false	https://www.sec.gov/Archives/edgar/data/2008748/000093041325003491/0000930413-25-003491/-index.htm
0000930413-25-003491	2008748	LORD ABBETT PRIVATE CREDIT FUND	8-K	20251121	20251130	20251130	PreCommencementTenderOffer	dei/2025	Pre-commencement Tender Offer		false	https://www.sec.gov/Archives/edgar/data/2008748/000093041325003491/0000930413-25-003491/-index.htm
0000930413-25-003491	2008748	LORD ABBETT PRIVATE CREDIT FUND	8-K	20251121	20251130	20251130	SolicitingMaterial	dei/2025	Soliciting Material		false	https://www.sec.gov/Archives/edgar/data/2008748/000093041325003491/0000930413-25-003491/-index.htm
0000930413-25-003491	2008748	LORD ABBETT PRIVATE CREDIT FUND	8-K	20251121	20251130	20251130	WrittenCommunications	dei/2025	Written Communications		false	https://www.sec.gov/Archives/edgar/data/2008748/000093041325003491/0000930413-25-003491/-index.htm
0000930413-25-003511	2008748	LORD ABBETT PRIVATE CREDIT FUND	8-K	20251125	20251130	20251130	AmendmentFlag	dei/2025	Amendment Flag		false	https://www.sec.gov/Archives/edgar/data/2008748/000093041325003511/0000930413-25-003511/-index.htm
0000930413-25-003511	2008748	LORD ABBETT PRIVATE CREDIT FUND	8-K	20251125	20251130	20251130	CityAreaCode	dei/2025	City Area Code		888	https://www.sec.gov/Archives/edgar/data/2008748/000093041325003511/0000930413-25-003511/-index.htm
0000930413-25-003511	2008748	LORD ABBETT PRIVATE CREDIT FUND	8-K	20251125	20251130	20251130	DocumentPeriodEndDate	dei/2025	Document Period End Date		2025-11-20	https://www.sec.gov/Archives/edgar/data/2008748/000093041325003511/0000930413-25-003511/-index.htm
0000930413-25-003511	2008748	LORD ABBETT PRIVATE CREDIT FUND	8-K	20251125	20251130	20251130	DocumentType	dei/2025	Document Type		8-K	https://www.sec.gov/Archives/edgar/data/2008748/000093041325003511/0000930413-25-003511/-index.htm
0000930413-25-003511	2008748	LORD ABBETT PRIVATE CREDIT FUND	8-K	20251125	20251130	20251130	EntityAddressAddressLine1	dei/2025	Entity Address, Address Line One		30 Hudson Street	https://www.sec.gov/Archives/edgar/data/2008748/000093041325003511/0000930413-25-003511/-index.htm
0000930413-25-003511	2008748	LORD ABBETT PRIVATE CREDIT FUND	8-K	20251125	20251130	20251130	EntityAddressCityOrTown	dei/2025	Entity Address, City or Town		Jersey City	https://www.sec.gov/Archives/edgar/data/2008748/000093041325003511/0000930413-25-003511/-index.htm
0000930413-25-003511	2008748	LORD ABBETT PRIVATE CREDIT FUND	8-K	20251125	20251130	20251130	EntityAddressPostalZipCode	dei/2025	Entity Address, Postal Zip Code		07302	https://www.sec.gov/Archives/edgar/data/2008748/000093041325003511/0000930413-25-003511/-index.htm
0000930413-25-003511	2008748	LORD ABBETT PRIVATE CREDIT FUND	8-K	20251125	20251130	20251130	EntityAddressStateOrProvince	dei/2025	Entity Address, State or Province		NJ	https://www.sec.gov/Archives/edgar/data/2008748/000093041325003511/0000930413-25-003511/-index.htm
0000930413-25-003511	2008748	LORD ABBETT PRIVATE CREDIT FUND	8-K	20251125	20251130	20251130	EntityCentralIndexKey	dei/2025	Entity Central Index Key		0002008748	https://www.sec.gov/Archives/edgar/data/2008748/000093041325003511/0000930413-25-003511/-index.htm
0000930413-25-003511	2008748	LORD ABBETT PRIVATE CREDIT FUND	8-K	20251125	20251130	20251130	EntityEmergingGrowthCompany	dei/2025	Entity Emerging Growth Company		true	https://www.sec.gov/Archives/edgar/data/2008748/000093041325003511/0000930413-25-003511/-index.htm
0000930413-25-003511	2008748	LORD ABBETT PRIVATE CREDIT FUND	8-K	20251125	20251130	20251130	EntityExTransitionPeriod	dei/2025	Elected Not To Use the Extended Transition Period		false	https://www.sec.gov/Archives/edgar/data/2008748/000093041325003511/0000930413-25-003511/-index.htm
0000930413-25-003511	2008748	LORD ABBETT PRIVATE CREDIT FUND	8-K	20251125	20251130	20251130	EntityFileNumber	dei/2025	Entity File Number		814-01764	https://www.sec.gov/Archives/edgar/data/2008748/000093041325003511/0000930413-25-003511/-index.htm
0000930413-25-003511	2008748	LORD ABBETT PRIVATE CREDIT FUND	8-K	20251125	20251130	20251130	EntityIncorporationStateCountryCode	dei/2025	Entity Incorporation, State or Country Code		DE	https://www.sec.gov/Archives/edgar/data/2008748/000093041325003511/0000930413-25-003511/-index.htm
0000930413-25-003511	2008748	LORD ABBETT PRIVATE CREDIT FUND	8-K	20251125	20251130	20251130	EntityRegistrantName	dei/2025	Entity Registrant Name		Lord Abbett Private Credit Fund	https://www.sec.gov/Archives/edgar/data/2008748/000093041325003511/0000930413-25-003511/-index.htm
0000930413-25-003511	2008748	LORD ABBETT PRIVATE CREDIT FUND	8-K	20251125	20251130	20251130	EntityTaxIdentificationNumber	dei/2025	Entity Tax Identification Number		93-4670837	https://www.sec.gov/Archives/edgar/data/2008748/000093041325003511/0000930413-25-003511/-index.htm
0000930413-25-003511	2008748	LORD ABBETT PRIVATE CREDIT FUND	8-K	20251125	20251130	20251130	LocalPhoneNumber	dei/2025	Local Phone Number		522-2388	https://www.sec.gov/Archives/edgar/data/2008748/000093041325003511/0000930413-25-003511/-index.htm
0000930413-25-003511	2008748	LORD ABBETT PRIVATE CREDIT FUND	8-K	20251125	20251130	20251130	PreCommencementIssuerTenderOffer	dei/2025	Pre-commencement Issuer Tender Offer		false	https://www.sec.gov/Archives/edgar/data/2008748/000093041325003511/0000930413-25-003511/-index.htm
0000930413-25-003511	2008748	LORD ABBETT PRIVATE CREDIT FUND	8-K	20251125	20251130	20251130	PreCommencementTenderOffer	dei/2025	Pre-commencement Tender Offer		false	https://www.sec.gov/Archives/edgar/data/2008748/000093041325003511/0000930413-25-003511/-index.htm
0000930413-25-003511	2008748	LORD ABBETT PRIVATE CREDIT FUND	8-K	20251125	20251130	20251130	SolicitingMaterial	dei/2025	Soliciting Material		false	https://www.sec.gov/Archives/edgar/data/2008748/000093041325003511/0000930413-25-003511/-index.htm
0000930413-25-003511	2008748	LORD ABBETT PRIVATE CREDIT FUND	8-K	20251125	20251130	20251130	WrittenCommunications	dei/2025	Written Communications		false	https://www.sec.gov/Archives/edgar/data/2008748/000093041325003511/0000930413-25-003511/-index.htm
0000930413-25-003512	2041841	LORD ABBETT PRIVATE CREDIT FUND S	8-K	20251125	20251130	20251130	AmendmentFlag	dei/2025	Amendment Flag		false	https://www.sec.gov/Archives/edgar/data/2041841/000093041325003512/0000930413-25-003512/-index.htm
0000930413-25-003512	2041841	LORD ABBETT PRIVATE CREDIT FUND S	8-K	20251125	20251130	20251130	CityAreaCode	dei/2025	City Area Code		888	https://www.sec.gov/Archives/edgar/data/2041841/000093041325003512/0000930413-25-003512/-index.htm
0000930413-25-003512	2041841	LORD ABBETT PRIVATE CREDIT FUND S	8-K	20251125	20251130	20251130	DocumentPeriodEndDate	dei/2025	Document Period End Date		2025-11-20	https://www.sec.gov/Archives/edgar/data/2041841/000093041325003512/0000930413-25-003512/-index.htm
0000930413-25-003512	2041841	LORD ABBETT PRIVATE CREDIT FUND S	8-K	20251125	20251130	20251130	DocumentType	dei/2025	Document Type		8-K	https://www.sec.gov/Archives/edgar/data/2041841/000093041325003512/0000930413-25-003512/-index.htm
0000930413-25-003512	2041841	LORD ABBETT PRIVATE CREDIT FUND S	8-K	20251125	20251130	20251130	EntityAddressAddressLine1	dei/2025	Entity Address, Address Line One		30 Hudson Street	https://www.sec.gov/Archives/edgar/data/2041841/000093041325003512/0000930413-25-003512/-index.htm
0000930413-25-003512	2041841	LORD ABBETT PRIVATE CREDIT FUND S	8-K	20251125	20251130	20251130	EntityAddressCityOrTown	dei/2025	Entity Address, City or Town		Jersey City	https://www.sec.gov/Archives/edgar/data/2041841/000093041325003512/0000930413-25-003512/-index.htm
0000930413-25-003512	2041841	LORD ABBETT PRIVATE CREDIT FUND S	8-K	20251125	20251130	20251130	EntityAddressPostalZipCode	dei/2025	Entity Address, Postal Zip Code		07302	https://www.sec.gov/Archives/edgar/data/2041841/000093041325003512/0000930413-25-003512/-index.htm
0000930413-25-003512	2041841	LORD ABBETT PRIVATE CREDIT FUND S	8-K	20251125	20251130	20251130	EntityAddressStateOrProvince	dei/2025	Entity Address, State or Province		NJ	https://www.sec.gov/Archives/edgar/data/2041841/000093041325003512/0000930413-25-003512/-index.htm
0000930413-25-003512	2041841	LORD ABBETT PRIVATE CREDIT FUND S	8-K	20251125	20251130	20251130	EntityCentralIndexKey	dei/2025	Entity Central Index Key		0002041841	https://www.sec.gov/Archives/edgar/data/2041841/000093041325003512/0000930413-25-003512/-index.htm
0000930413-25-003512	2041841	LORD ABBETT PRIVATE CREDIT FUND S	8-K	20251125	20251130	20251130	EntityEmergingGrowthCompany	dei/2025	Entity Emerging Growth Company		true	https://www.sec.gov/Archives/edgar/data/2041841/000093041325003512/0000930413-25-003512/-index.htm
0000930413-25-003512	2041841	LORD ABBETT PRIVATE CREDIT FUND S	8-K	20251125	20251130	20251130	EntityExTransitionPeriod	dei/2025	Elected Not To Use the Extended Transition Period		false	https://www.sec.gov/Archives/edgar/data/2041841/000093041325003512/0000930413-25-003512/-index.htm
0000930413-25-003512	2041841	LORD ABBETT PRIVATE CREDIT FUND S	8-K	20251125	20251130	20251130	EntityFileNumber	dei/2025	Entity File Number		814-01843	https://www.sec.gov/Archives/edgar/data/2041841/000093041325003512/0000930413-25-003512/-index.htm
0000930413-25-003512	2041841	LORD ABBETT PRIVATE CREDIT FUND S	8-K	20251125	20251130	20251130	EntityIncorporationStateCountryCode	dei/2025	Entity Incorporation, State or Country Code		DE	https://www.sec.gov/Archives/edgar/data/2041841/000093041325003512/0000930413-25-003512/-index.htm
0000930413-25-003512	2041841	LORD ABBETT PRIVATE CREDIT FUND S	8-K	20251125	20251130	20251130	EntityRegistrantName	dei/2025	Entity Registrant Name		Lord Abbett Private Credit Fund S	https://www.sec.gov/Archives/edgar/data/2041841/000093041325003512/0000930413-25-003512/-index.htm
0000930413-25-003512	2041841	LORD ABBETT PRIVATE CREDIT FUND S	8-K	20251125	20251130	20251130	EntityTaxIdentificationNumber	dei/2025	Entity Tax Identification Number		99-5126353	https://www.sec.gov/Archives/edgar/data/2041841/000093041325003512/0000930413-25-003512/-index.htm
0000930413-25-003512	2041841	LORD ABBETT PRIVATE CREDIT FUND S	8-K	20251125	20251130	20251130	LocalPhoneNumber	dei/2025	Local Phone Number		522-2388	https://www.sec.gov/Archives/edgar/data/2041841/000093041325003512/0000930413-25-003512/-index.htm
0000930413-25-003512	2041841	LORD ABBETT PRIVATE CREDIT FUND S	8-K	20251125	20251130	20251130	PreCommencementIssuerTenderOffer	dei/2025	Pre-commencement Issuer Tender Offer		false	https://www.sec.gov/Archives/edgar/data/2041841/000093041325003512/0000930413-25-003512/-index.htm
0000930413-25-003512	2041841	LORD ABBETT PRIVATE CREDIT FUND S	8-K	20251125	20251130	20251130	PreCommencementTenderOffer	dei/2025	Pre-commencement Tender Offer		false	https://www.sec.gov/Archives/edgar/data/2041841/000093041325003512/0000930413-25-003512/-index.htm
0000930413-25-003512	2041841	LORD ABBETT PRIVATE CREDIT FUND S	8-K	20251125	20251130	20251130	SolicitingMaterial	dei/2025	Soliciting Material		false	https://www.sec.gov/Archives/edgar/data/2041841/000093041325003512/0000930413-25-003512/-index.htm
0000930413-25-003512	2041841	LORD ABBETT PRIVATE CREDIT FUND S	8-K	20251125	20251130	20251130	WrittenCommunications	dei/2025	Written Communications		false	https://www.sec.gov/Archives/edgar/data/2041841/000093041325003512/0000930413-25-003512/-index.htm
